capture_index,point_direction,point_number,label,sample_index,captured_at_iso,raw_adc,voltage_v,distance_cm,valid_sample
0,out,0,out_p00,0,2026-03-13T15:53:43,275,1.3430,21.2000,1
0,out,0,out_p00,1,2026-03-13T15:53:43,269,1.3130,21.8000,1
0,out,0,out_p00,2,2026-03-13T15:53:43,266,1.2990,22.1000,1
0,out,0,out_p00,3,2026-03-13T15:53:43,265,1.2940,22.2000,1
0,out,0,out_p00,4,2026-03-13T15:53:43,264,1.2890,22.3000,1
0,out,0,out_p00,5,2026-03-13T15:53:43,434,2.1190,12.4000,1
0,out,0,out_p00,6,2026-03-13T15:53:43,313,1.5280,18.2000,1
0,out,0,out_p00,7,2026-03-13T15:53:43,284,1.3870,20.4000,1
0,out,0,out_p00,8,2026-03-13T15:53:43,273,1.3330,21.4000,1
0,out,0,out_p00,9,2026-03-13T15:53:43,268,1.3090,21.9000,1
0,out,0,out_p00,10,2026-03-13T15:53:43,266,1.2990,22.1000,1
0,out,0,out_p00,11,2026-03-13T15:53:43,265,1.2940,22.2000,1
0,out,0,out_p00,12,2026-03-13T15:53:43,369,1.8020,15.0000,1
0,out,0,out_p00,13,2026-03-13T15:53:43,347,1.6940,16.2000,1
0,out,0,out_p00,14,2026-03-13T15:53:43,295,1.4400,19.5000,1
0,out,0,out_p00,15,2026-03-13T15:53:43,279,1.3620,20.9000,1
0,out,0,out_p00,16,2026-03-13T15:53:43,271,1.3230,21.6000,1
0,out,0,out_p00,17,2026-03-13T15:53:43,267,1.3040,22.0000,1
0,out,0,out_p00,18,2026-03-13T15:53:43,265,1.2940,22.2000,1
0,out,0,out_p00,19,2026-03-13T15:53:43,264,1.2890,22.3000,1
0,out,0,out_p00,20,2026-03-13T15:53:43,390,1.9040,14.1000,1
0,out,0,out_p00,21,2026-03-13T15:53:43,326,1.5920,17.4000,1
0,out,0,out_p00,22,2026-03-13T15:53:43,291,1.4210,19.9000,1
0,out,0,out_p00,23,2026-03-13T15:53:43,276,1.3480,21.1000,1
0,out,0,out_p00,24,2026-03-13T15:53:43,270,1.3180,21.7000,1
1,out,1,out_p01,0,2026-03-13T15:53:49,264,1.2890,22.3000,1
1,out,1,out_p01,1,2026-03-13T15:53:49,264,1.2890,22.3000,1
1,out,1,out_p01,2,2026-03-13T15:53:49,264,1.2890,22.3000,1
1,out,1,out_p01,3,2026-03-13T15:53:49,264,1.2890,22.3000,1
1,out,1,out_p01,4,2026-03-13T15:53:49,264,1.2890,22.3000,1
1,out,1,out_p01,5,2026-03-13T15:53:49,264,1.2890,22.3000,1
1,out,1,out_p01,6,2026-03-13T15:53:49,264,1.2890,22.3000,1
1,out,1,out_p01,7,2026-03-13T15:53:49,264,1.2890,22.3000,1
1,out,1,out_p01,8,2026-03-13T15:53:49,264,1.2890,22.3000,1
1,out,1,out_p01,9,2026-03-13T15:53:49,264,1.2890,22.3000,1
1,out,1,out_p01,10,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,11,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,12,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,13,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,14,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,15,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,16,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,17,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,18,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,19,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,20,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,21,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,22,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,23,2026-03-13T15:53:49,263,1.2840,22.4000,1
1,out,1,out_p01,24,2026-03-13T15:53:49,263,1.2840,22.4000,1
2,out,2,out_p02,0,2026-03-13T15:53:55,265,1.2940,22.2000,1
2,out,2,out_p02,1,2026-03-13T15:53:55,264,1.2890,22.3000,1
2,out,2,out_p02,2,2026-03-13T15:53:55,430,2.1000,12.6000,1
2,out,2,out_p02,3,2026-03-13T15:53:55,312,1.5230,18.3000,1
2,out,2,out_p02,4,2026-03-13T15:53:55,281,1.3720,20.7000,1
2,out,2,out_p02,5,2026-03-13T15:53:55,273,1.3330,21.4000,1
2,out,2,out_p02,6,2026-03-13T15:53:55,268,1.3090,21.9000,1
2,out,2,out_p02,7,2026-03-13T15:53:55,266,1.2990,22.1000,1
