capture_index,point_direction,point_number,label,captured_at_iso,samples_requested,samples_captured,valid_samples,valid_fraction,mean_distance_cm,median_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_raw_adc,std_raw_adc,min_raw_adc,max_raw_adc,mean_voltage_v,std_voltage_v,min_voltage_v,max_voltage_v
0,out,0,out_p00,2026-03-13T15:53:43,25,25,25,1.0000,20.0840,21.4000,2.8715,12.4000,22.3000,294.0800,45.2409,264.0000,434.0000,1.4359,0.2208,1.2890,2.1190
1,out,1,out_p01,2026-03-13T15:53:49,25,25,25,1.0000,22.3600,22.4000,0.0500,22.3000,22.4000,263.4000,0.5000,263.0000,264.0000,1.2860,0.0025,1.2840,1.2890
2,out,2,out_p02,2026-03-13T15:53:55,25,25,25,1.0000,20.1680,21.6000,2.8828,12.6000,22.3000,293.1600,45.0164,264.0000,430.0000,1.4314,0.2198,1.2890,2.1000
3,out,3,out_p03,2026-03-13T15:53:59,25,25,25,1.0000,20.2520,21.6000,3.1727,11.8000,22.6000,293.9200,54.7182,261.0000,452.0000,1.4351,0.2672,1.2740,2.2070
4,out,4,out_p04,2026-03-13T15:54:02,25,25,25,1.0000,19.7160,21.3000,3.3473,12.0000,22.5000,301.6800,56.9398,262.0000,448.0000,1.4730,0.2779,1.2790,2.1870
5,out,5,out_p05,2026-03-13T15:54:05,25,25,25,1.0000,20.2360,21.7000,3.1594,11.9000,22.6000,293.9600,53.9201,261.0000,450.0000,1.4353,0.2632,1.2740,2.1970
6,out,6,out_p06,2026-03-13T15:54:08,25,25,25,1.0000,20.7760,20.8000,1.1889,17.8000,22.0000,280.8000,14.1274,267.0000,320.0000,1.3711,0.0688,1.3040,1.5620
7,out,7,out_p07,2026-03-13T15:54:11,25,25,25,1.0000,19.7160,21.1000,3.0320,11.8000,22.6000,299.9200,52.1759,261.0000,453.0000,1.4644,0.2548,1.2740,2.2120
8,out,8,out_p08,2026-03-13T15:54:17,25,25,25,1.0000,19.1760,20.6000,2.8078,12.3000,21.9000,306.1200,47.9038,268.0000,437.0000,1.4948,0.2340,1.3090,2.1340
9,out,9,out_p09,2026-03-13T15:54:24,25,25,25,1.0000,16.7040,17.6000,2.2246,11.2000,19.2000,343.1600,49.2736,300.0000,476.0000,1.6756,0.2406,1.4650,2.3240
10,ret,9,ret_p09,2026-03-13T15:54:32,25,25,25,1.0000,17.1320,16.8000,0.7782,16.2000,19.3000,330.5200,11.8783,298.0000,346.0000,1.6140,0.0581,1.4550,1.6890
11,ret,8,ret_p08,2026-03-13T15:54:39,25,25,23,0.9200,13.2522,13.6000,0.9510,10.1000,14.1000,423.9600,48.1495,390.0000,554.0000,2.0701,0.2351,1.9040,2.7050
12,ret,7,ret_p07,2026-03-13T15:54:44,25,25,25,1.0000,12.8200,12.9000,1.1597,10.3000,14.1000,425.4000,35.4507,390.0000,511.0000,2.0772,0.1731,1.9040,2.4950
13,ret,6,ret_p06,2026-03-13T15:54:50,25,25,5,0.2000,11.3400,11.4000,0.0894,11.2000,11.4000,557.9600,58.4312,466.0000,744.0000,2.7245,0.2854,2.2750,3.6330
14,ret,5,ret_p05,2026-03-13T15:54:54,25,25,0,0.0000,,,,,,686.4400,52.8655,565.0000,786.0000,3.3517,0.2581,2.7590,3.8380
15,ret,4,ret_p04,2026-03-13T15:54:58,25,25,0,0.0000,,,,,,694.4000,48.2571,615.0000,794.0000,3.3907,0.2356,3.0030,3.8770
16,ret,3,ret_p03,2026-03-13T15:55:01,25,25,0,0.0000,,,,,,687.0400,40.8682,658.0000,791.0000,3.3547,0.1995,3.2130,3.8620
17,ret,2,ret_p02,2026-03-13T15:55:04,25,25,0,0.0000,,,,,,637.6800,46.9989,595.0000,750.0000,3.1136,0.2295,2.9050,3.6620
18,ret,1,ret_p01,2026-03-13T15:55:08,25,25,0,0.0000,,,,,,710.6400,33.8672,686.0000,792.0000,3.4699,0.1655,3.3500,3.8670
