t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,x_linear_cm,x_linear_filt_cm,x_ctrl_cm,x_ctrl_filt_cm,x_feedback_cm,feedback_blend,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,30.7617,32.6074,idle,0.0,0.0,0.0,0.0,0.0,0.0,
450,SAFE_DISABLED,-10.6549,-10.6309,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6549,-10.6309,-10.6549,-10.6309,-10.6309,0.4,
550,SAFE_DISABLED,-10.6892,-10.6692,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.6692,-10.6892,-10.6692,-10.6692,0.4,
650,SAFE_DISABLED,-10.6892,-10.6722,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.6722,-10.6892,-10.6722,-10.6722,0.4,
750,SAFE_DISABLED,-10.6892,-10.6737,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.6737,-10.6892,-10.6737,-10.6737,0.4,
850,SAFE_DISABLED,-10.6892,-10.6839,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.6839,-10.6892,-10.6839,-10.6839,0.4,
950,SAFE_DISABLED,-10.6892,-10.6866,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.6866,-10.6892,-10.6866,-10.6866,0.4,
1050,SAFE_DISABLED,-10.6892,-10.6879,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.6879,-10.6892,-10.6879,-10.6879,0.4,
1150,SAFE_DISABLED,-10.6892,-10.6888,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.6888,-10.6892,-10.6888,-10.6888,0.4,
1250,SAFE_DISABLED,-10.6892,-10.689,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.689,-10.6892,-10.689,-10.689,0.4,
1350,SAFE_DISABLED,-10.6892,-10.7035,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.7035,-10.6892,-10.7035,-10.7035,0.4,
1451,SAFE_DISABLED,-10.6892,-10.6941,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.6941,-10.6892,-10.6941,-10.6941,0.4,
1551,SAFE_DISABLED,-10.6892,-10.6916,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.6916,-10.6892,-10.6916,-10.6916,0.4,
1651,SAFE_DISABLED,-10.6206,-10.6694,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6206,-10.6694,-10.6206,-10.6694,-10.6694,0.4,
1751,SAFE_DISABLED,-10.6206,-10.6445,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6206,-10.6445,-10.6206,-10.6445,-10.6445,0.4,
1851,SAFE_DISABLED,-10.6892,-10.6529,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6892,-10.6529,-10.6892,-10.6529,-10.6529,0.4,
1951,SAFE_DISABLED,-10.6206,-10.6317,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6206,-10.6317,-10.6206,-10.6317,-10.6317,0.4,
2051,SAFE_DISABLED,-10.6206,-10.626,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6206,-10.626,-10.6206,-10.626,-10.626,0.4,
2151,SAFE_DISABLED,-10.6206,-10.5512,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6206,-10.5512,-10.6206,-10.5512,-10.5512,0.4,
2251,SAFE_DISABLED,-10.6206,-10.5968,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.6206,-10.5968,-10.6206,-10.5968,-10.5968,0.4,
2351,SAFE_DISABLED,-10.2776,-10.434,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.2776,-10.434,-10.2776,-10.434,-10.434,0.4,
2451,SAFE_DISABLED,-10.2776,-10.3542,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.2776,-10.3542,-10.2776,-10.3542,-10.3542,0.4,
2551,SAFE_DISABLED,-10.209,-10.2689,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.209,-10.2689,-10.209,-10.2689,-10.2689,0.4,
2651,SAFE_DISABLED,-10.209,-10.2383,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.209,-10.2383,-10.209,-10.2383,-10.2383,0.4,
2751,SAFE_DISABLED,-10.209,-10.2234,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.209,-10.2234,-10.209,-10.2234,-10.2234,0.4,
2851,SAFE_DISABLED,-10.209,-10.2139,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.209,-10.2139,-10.209,-10.2139,-10.2139,0.4,
2951,SAFE_DISABLED,-10.209,-10.2114,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.209,-10.2114,-10.209,-10.2114,-10.2114,0.4,
3051,SAFE_DISABLED,-10.209,-10.2102,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.209,-10.2102,-10.209,-10.2102,-10.2102,0.4,
3151,SAFE_DISABLED,-10.2776,-10.2444,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.2776,-10.2444,-10.2776,-10.2444,-10.2444,0.4,
3251,SAFE_DISABLED,-10.2776,-10.2613,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.2776,-10.2613,-10.2776,-10.2613,-10.2613,0.4,
3351,SAFE_DISABLED,-10.2776,-10.2696,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.2776,-10.2696,-10.2776,-10.2696,-10.2696,0.4,
3451,SAFE_DISABLED,-10.209,-10.2543,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.209,-10.2543,-10.209,-10.2543,-10.2543,0.4,
3551,SAFE_DISABLED,-10.209,-10.2312,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.209,-10.2312,-10.209,-10.2312,-10.2312,0.4,
3651,SAFE_DISABLED,-10.209,-10.2199,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.209,-10.2199,-10.209,-10.2199,-10.2199,0.4,
3751,SAFE_DISABLED,-10.209,-10.2127,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.209,-10.2127,-10.209,-10.2127,-10.2127,0.4,
3851,SAFE_DISABLED,-10.2776,-10.2458,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.2776,-10.2458,-10.2776,-10.2458,-10.2458,0.4,
3951,SAFE_DISABLED,-10.2776,-10.262,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.2776,-10.262,-10.2776,-10.262,-10.262,0.4,
4051,SAFE_DISABLED,-10.2776,-10.2723,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.2776,-10.2723,-10.2776,-10.2723,-10.2723,0.4,
4151,SAFE_DISABLED,-10.2776,-10.275,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,30.7617,32.6074,idle,-10.2776,-10.275,-10.2776,-10.275,-10.275,0.4,
