capture_index,point_direction,point_number,label,sample_index,captured_at_iso,mode,distance_cm,pulse_us,valid_sample,echo_ok,timer1_stress,pings,valid_count,timeout_count,miss_count
0,out,0,out_p00,0,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,27,27,0,0
0,out,0,out_p00,1,2026-03-13T15:41:33,PCINT,25.3800,1472.0000,1,1,0,28,28,0,0
0,out,0,out_p00,2,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,29,29,0,0
0,out,0,out_p00,3,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,30,30,0,0
0,out,0,out_p00,4,2026-03-13T15:41:33,PCINT,25.3800,1472.0000,1,1,0,31,31,0,0
0,out,0,out_p00,5,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,32,32,0,0
0,out,0,out_p00,6,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,33,33,0,0
0,out,0,out_p00,7,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,34,34,0,0
0,out,0,out_p00,8,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,35,35,0,0
0,out,0,out_p00,9,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,36,36,0,0
0,out,0,out_p00,10,2026-03-13T15:41:33,PCINT,25.3800,1472.0000,1,1,0,37,37,0,0
0,out,0,out_p00,11,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,38,38,0,0
0,out,0,out_p00,12,2026-03-13T15:41:33,PCINT,25.3800,1472.0000,1,1,0,39,39,0,0
0,out,0,out_p00,13,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,40,40,0,0
0,out,0,out_p00,14,2026-03-13T15:41:33,PCINT,25.3800,1472.0000,1,1,0,41,41,0,0
0,out,0,out_p00,15,2026-03-13T15:41:33,PCINT,25.3800,1472.0000,1,1,0,42,42,0,0
0,out,0,out_p00,16,2026-03-13T15:41:33,PCINT,25.0300,1452.0000,1,1,0,43,43,0,0
0,out,0,out_p00,17,2026-03-13T15:41:33,PCINT,25.3800,1472.0000,1,1,0,44,44,0,0
0,out,0,out_p00,18,2026-03-13T15:41:33,PCINT,25.0300,1452.0000,1,1,0,45,45,0,0
0,out,0,out_p00,19,2026-03-13T15:41:33,PCINT,0.0000,1476.0000,0,0,0,46,45,0,0
0,out,0,out_p00,20,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,46,46,0,0
0,out,0,out_p00,21,2026-03-13T15:41:33,PCINT,25.3800,1472.0000,1,1,0,47,47,0,0
0,out,0,out_p00,22,2026-03-13T15:41:33,PCINT,25.0300,1452.0000,1,1,0,48,48,0,0
0,out,0,out_p00,23,2026-03-13T15:41:33,PCINT,0.0000,1476.0000,0,0,0,49,48,0,0
0,out,0,out_p00,24,2026-03-13T15:41:33,PCINT,25.4500,1476.0000,1,1,0,49,49,0,0
1,out,1,out_p01,0,2026-03-13T15:41:48,PCINT,25.7900,1496.0000,1,1,0,59,59,0,0
1,out,1,out_p01,1,2026-03-13T15:41:48,PCINT,0.0000,1504.0000,0,0,0,60,59,0,0
1,out,1,out_p01,2,2026-03-13T15:41:48,PCINT,25.9300,1504.0000,1,1,0,60,60,0,0
1,out,1,out_p01,3,2026-03-13T15:41:48,PCINT,24.9700,1448.0000,1,1,0,61,61,0,0
1,out,1,out_p01,4,2026-03-13T15:41:48,PCINT,25.3800,1472.0000,1,1,0,62,62,0,0
1,out,1,out_p01,5,2026-03-13T15:41:48,PCINT,25.4500,1476.0000,1,1,0,63,63,0,0
1,out,1,out_p01,6,2026-03-13T15:41:48,PCINT,24.9700,1448.0000,1,1,0,64,64,0,0
