[11:05:06] sent: s
[11:05:07] BALL_BEAM_REF_BOOT
[11:05:08] HOST_WARN,unknown_firmware_protocol: device output does not look like BallBeam (BALL_BEAM_BOOT/TEL/STATE) or AS5600_CHECK. You may have flashed a different Arduino sketch. First lines: BALL_BEAM_REF_BOOT
[11:05:09] TEL,2010,4.0131,4.1088,9.3912,-168.9931,0,0.000000
[11:05:10] TEL,2204,4.8878,4.7715,8.2579,-18.4245,168,0.329867
[11:05:10] TEL,2391,5.9168,5.8546,7.6407,-24.4203,18,0.035343
[11:05:10] TEL,2418,5.9339,5.9312,7.5604,-24.4203,24,0.047124
[11:05:10] TEL,2422,5.3680,5.5131,7.9780,-24.4203,24,0.047124
[11:05:10] TEL,2427,5.2479,5.2696,8.2212,-24.4203,24,0.047124
[11:05:10] TEL,2433,5.3680,5.3557,8.1353,-24.4203,24,0.047124
[11:05:10] TEL,2437,5.3508,5.3520,8.1389,-24.4203,24,0.047124
[11:05:10] TEL,2442,5.2651,5.3122,8.1787,-24.4203,24,0.047124
[11:05:10] TEL,2447,5.3680,5.3452,8.1457,-24.4203,24,0.047124
[11:05:10] TEL,2451,5.3680,5.3585,8.1324,-24.4203,24,0.047124
[11:05:10] TEL,2456,5.3680,5.3631,8.1279,-24.4203,24,0.047124
[11:05:10] TEL,2461,5.7281,5.4987,7.9924,-24.4203,24,0.047124
[11:05:10] TEL,2466,5.8310,5.7613,7.7302,-24.4203,24,0.047124
[11:05:10] TEL,2470,5.4194,5.4603,8.0307,-24.4203,24,0.047124
[11:05:10] TEL,2476,5.3165,5.3318,8.1591,-24.4203,24,0.047124
[11:05:10] TEL,2481,5.4194,5.4022,8.0888,-24.4203,24,0.047124
[11:05:10] TEL,2485,5.3851,5.3899,8.1011,-24.4203,24,0.047124
[11:05:10] TEL,2490,5.4194,5.4049,8.0862,-24.4203,24,0.047124
[11:05:10] TEL,2495,5.3165,5.3635,8.1275,-42.9613,24,0.047124
[11:05:10] TEL,2548,5.1450,5.2323,8.2396,-42.9613,42,0.082467
