OK,running
TEL,712775,RUNNING,11.8880,12.1945,5.4464,0.0000,0.00,0
TEL,712875,RUNNING,11.8880,11.9370,0.6797,-8.0000,-1.01,0
TEL,712975,RUNNING,11.4764,11.6324,4.6863,-8.0000,-2.20,0
TEL,713075,RUNNING,11.8880,11.8157,-1.7885,-8.0000,-2.12,0
TEL,713175,RUNNING,11.9566,11.9176,-3.2131,-8.0000,-2.61,0
TEL,713275,RUNNING,14.3576,13.9709,2.1202,-8.0000,-3.56,0
TEL,713375,RUNNING,14.3576,14.2957,6.6865,-8.0000,-4.97,0
TEL,713475,RUNNING,14.3576,14.3536,1.4314,-8.0000,-5.75,0
TEL,713575,RUNNING,14.3576,14.3570,6.6654,-8.0000,-7.11,0
TEL,713675,RUNNING,13.5344,13.6661,1.6983,-8.0000,-7.50,0
TEL,713775,RUNNING,13.4658,13.4978,-6.6587,-8.0000,-7.83,0
TEL,713875,RUNNING,13.1914,13.3032,6.4126,-8.0000,-9.41,0
TEL,713975,RUNNING,13.0542,13.0940,2.1766,-8.0000,-10.09,0
TEL,714075,RUNNING,13.0542,13.0567,5.9553,-8.0000,-11.28,0
TEL,714175,RUNNING,13.0542,13.0546,4.3623,-8.0000,-12.17,0
TEL,714275,RUNNING,13.0542,13.0542,7.2458,-8.0000,-13.61,0
TEL,714375,RUNNING,13.0542,13.0542,4.8915,-8.0000,-14.34,0
TEL,714475,RUNNING,13.0542,13.0542,7.2624,-8.0000,-15.76,0
TEL,714575,RUNNING,13.0542,13.0542,7.3365,-8.0000,-17.11,0
TEL,714675,RUNNING,13.0542,13.0542,-2.6835,-8.0000,-17.50,0
TEL,714775,RUNNING,13.0542,13.0542,7.0257,-8.0000,-19.12,0
TEL,714875,RUNNING,13.0542,13.0542,7.3291,-8.0000,-20.48,0
TEL,714975,RUNNING,13.0542,13.0542,3.4274,-8.0000,-21.59,0
TEL,715075,RUNNING,13.0542,13.0542,7.2166,-8.0000,-23.05,0
TEL,715175,RUNNING,13.0542,13.0542,7.3350,-8.0000,-24.40,0
TEL,715275,RUNNING,13.0542,13.0542,7.2728,-8.0000,-25.75,0
TEL,715375,RUNNING,13.0542,13.0542,7.0594,-8.0000,-27.08,0
TEL,715475,RUNNING,13.1228,13.0953,6.7122,-8.0000,-28.37,0
TEL,715575,RUNNING,13.1228,13.1184,6.4349,-8.0000,-29.64,0
TEL,715675,RUNNING,13.1228,13.1225,6.1680,-8.0000,-30.89,0
TEL,715776,RUNNING,13.4658,13.3285,5.9180,-8.0000,-32.12,0
TEL,715876,RUNNING,13.4658,13.4570,5.6438,-8.0000,-33.32,0
TEL,715976,RUNNING,13.4658,13.3821,5.3908,-8.0000,-34.50,0
TEL,716076,RUNNING,13.4658,13.4604,4.8912,-8.0000,-35.51,0
TEL,716176,RUNNING,13.4658,13.4649,4.9003,-8.0000,-36.66,0
TEL,716276,RUNNING,13.5344,13.5234,4.6012,-8.0000,-37.76,0
TEL,716376,RUNNING,13.4658,13.4750,4.1469,-8.0000,-38.72,0
TEL,716476,RUNNING,13.4658,13.4664,4.0723,-8.0000,-39.79,0
TEL,716576,RUNNING,13.4658,13.4659,3.7761,-8.0000,-40.82,0
TEL,716676,RUNNING,13.4658,13.4658,3.4592,-8.0000,-41.83,0
TEL,716776,RUNNING,13.4658,13.4658,3.1527,-8.0000,-42.81,0
TEL,716876,RUNNING,13.5344,13.5234,2.8437,-8.0000,-43.76,0
TEL,716976,RUNNING,13.5344,13.5326,2.5677,-8.0000,-44.69,0
TEL,717076,RUNNING,13.5344,13.5343,2.3585,-8.0000,-45.60,0
TEL,717176,RUNNING,13.5344,13.5344,2.0526,-8.0000,-46.49,0
TEL,717276,RUNNING,13.5344,13.5344,1.8206,-8.0000,-47.35,0
TEL,717376,RUNNING,13.5344,13.5344,1.5249,-8.0000,-48.19,0
TEL,717476,RUNNING,13.5344,13.5344,1.2273,-8.0000,-49.00,0
TEL,717576,RUNNING,13.5344,13.5344,0.6247,-8.0000,-49.64,0
TEL,717676,RUNNING,13.5344,13.5344,0.4741,-8.0000,-50.40,0
TEL,717776,RUNNING,14.2890,14.1683,-0.0003,-8.0000,-51.10,0
TEL,717876,RUNNING,14.2890,14.2813,-0.5260,-8.0000,-51.75,0
TEL,717976,RUNNING,13.5344,13.6539,-1.4762,-8.0000,-52.23,0
TEL,718076,RUNNING,13.5344,13.5420,-1.5499,-8.0000,-52.81,0
TEL,718176,RUNNING,13.4658,13.4780,-10.3550,-8.0000,-52.62,0
TEL,718276,RUNNING,13.0542,13.1044,-4.8843,-8.0000,-53.03,0
OK,running
TEL,718376,RUNNING,13.0542,13.0622,-3.3414,-8.0000,-0.54,0
TEL,718476,RUNNING,13.0542,13.0555,-3.3414,-8.0000,-0.95,0
TEL,718576,RUNNING,13.0542,13.0555,-3.3414,0.0000,0.00,0
TEL,718676,FAULT,12.6426,12.7086,-3.3414,0.0000,0.00,2
