phase,x_ref_cm,duration_s,step_cm,steady_state_error_cm,overshoot_cm,settling_time_s,rise_time_s,rmse_cm,iae_cm_s,itae_cm_s2,peak_abs_output_steps,peak_abs_beam_deg
hold_center,13.0,29.901,,-4.780980952380952,0.0,,,4.780760700809025,142.94524959999998,2143.0367962095997,98.329,10.912496870282146
hold_far,17.0,29.900000000000002,4.0,-4.148114285714286,0.0,,1.2000000000000028,5.239656435037829,145.44152,1948.169906,160.0,17.99998479605043
hold_near,9.0,33.2,8.0,-0.7640285714285714,0.7782,,0.7999999999999972,0.9481205582640866,25.84678999999999,410.1209090000001,80.7136,8.662491608803403
