phase,x_ref_cm,duration_s,step_cm,steady_state_error_cm,overshoot_cm,settling_time_s,rise_time_s,rmse_cm,iae_cm_s,itae_cm_s2,peak_abs_output_steps,peak_abs_beam_deg
hold_center,13.0,29.901,,0.3652190476190474,3.6936,,1.2000000000000002,2.499282866743979,62.98309060000001,966.4555410706001,224.0,25.200001632782406
hold_far,17.0,29.900000000000002,4.0,-0.35160476190476214,0.8335000000000008,,0.5,1.1195535152014844,23.009179999999986,324.9346759999997,175.7636,17.99998479605043
hold_near,9.0,35.2,8.0,4.2162523809523815,0.7547999999999995,,1.5,4.896688499823728,141.79874,2562.806356000001,224.0,25.200001632782406
