t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags
349,SAFE_DISABLED,2.6411,2.6651,3.6035,0.0,0.0,0
449,SAFE_DISABLED,2.6068,2.6354,3.6035,0.0,0.0,0
549,SAFE_DISABLED,2.6068,2.6238,3.6035,0.0,0.0,0
649,SAFE_DISABLED,2.6068,2.6223,3.6035,0.0,0.0,0
749,SAFE_DISABLED,2.6068,2.6121,3.6035,0.0,0.0,0
849,SAFE_DISABLED,2.6068,2.6094,3.6035,0.0,0.0,0
949,SAFE_DISABLED,2.6068,2.6077,3.6035,0.0,0.0,0
1049,SAFE_DISABLED,2.6068,2.6072,3.6035,0.0,0.0,0
1149,SAFE_DISABLED,2.6068,2.6069,3.6035,0.0,0.0,0
1249,SAFE_DISABLED,2.6068,2.6069,3.6035,0.0,0.0,0
1349,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
1449,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
1549,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
1649,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
1750,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
1850,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
1950,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
2050,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
2150,SAFE_DISABLED,2.6754,2.6418,3.6035,0.0,0.0,0
2250,SAFE_DISABLED,2.6068,2.6383,3.6035,0.0,0.0,0
2350,SAFE_DISABLED,2.6754,2.6627,3.6035,0.0,0.0,0
2450,SAFE_DISABLED,2.6068,2.6486,3.6035,0.0,0.0,0
2550,SAFE_DISABLED,2.6068,2.6211,3.6035,0.0,0.0,0
2650,SAFE_DISABLED,2.6068,2.6138,3.6035,0.0,0.0,0
2750,SAFE_DISABLED,2.6068,2.6092,3.6035,0.0,0.0,0
2850,SAFE_DISABLED,2.6068,2.608,3.6035,0.0,0.0,0
2950,SAFE_DISABLED,2.6068,2.6072,3.6035,0.0,0.0,0
3050,SAFE_DISABLED,2.6068,2.607,3.6035,0.0,0.0,0
3150,SAFE_DISABLED,2.6068,2.6069,3.6035,0.0,0.0,0
3250,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
3350,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
3450,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
3550,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
3650,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
3750,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
3850,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
3950,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
4050,SAFE_DISABLED,2.6068,2.6068,3.6035,0.0,0.0,0
68496,READY,-4.2724,-4.2769,0.6152,0.0,0.0,0
68596,READY,-4.2724,-4.274,0.6152,0.0,0.0,0
68696,READY,-4.2724,-4.2732,0.6152,0.0,0.0,0
68796,READY,-4.2724,-4.2727,0.6152,0.0,0.0,0
68896,READY,-4.2724,-4.2726,0.6152,0.0,0.0,0
68996,READY,-4.2724,-4.2725,0.6152,0.0,0.0,0
69096,READY,-4.2724,-4.2725,0.6152,0.0,0.0,0
69196,READY,-4.2724,-4.2724,0.6152,0.0,0.0,0
69296,READY,-4.341,-4.293,0.6152,0.0,0.0,0
69396,READY,-4.341,-4.3246,0.6152,0.0,0.0,0
69496,READY,-4.341,-4.333,0.6152,0.0,0.0,0
69596,READY,-4.2724,-4.3033,0.6152,0.0,0.0,0
69696,READY,-4.2724,-4.2876,0.6152,0.0,0.0,0
69796,READY,-4.2724,-4.2776,0.6152,0.0,0.0,0
69896,READY,-4.2724,-4.275,0.6152,0.0,0.0,0
69996,READY,-4.341,-4.3184,0.6152,0.0,0.0,0
70096,READY,-4.341,-4.3299,0.6152,0.0,0.0,0
70196,RUNNING,-4.341,-4.3372,0.6152,1.3453,47.63,0
70296,RUNNING,-4.341,-4.3392,0.9418,1.3593,35.98,0
70396,RUNNING,-4.2724,-4.3198,1.3329,1.0414,-5.17,0
70496,RUNNING,-4.341,-4.3306,1.467,1.4404,11.16,0
70597,RUNNING,-4.341,-4.3375,1.516,1.511,12.49,0
70697,RUNNING,-4.341,-4.3393,1.6641,1.5268,3.44,0
70797,RUNNING,-4.341,-4.316,1.7421,1.7489,8.86,0
70897,RUNNING,-4.2724,-4.3082,1.7103,1.6008,-0.41,0
70999,RUNNING,-4.341,-4.3197,1.6767,1.8054,13.71,0
71099,RUNNING,-4.341,-4.3306,1.7442,1.6909,2.54,0
71199,RUNNING,-4.2724,-4.3068,1.8735,1.4689,-21.08,0
71299,RUNNING,-4.2724,-4.2893,1.8971,1.7617,-7.61,0
71399,RUNNING,-4.2724,-4.2782,1.7966,1.7566,-3.04,0
71499,RUNNING,-4.2724,-4.2753,1.7643,1.8402,4.46,0
71599,RUNNING,-4.2724,-4.2734,1.7589,1.8736,8.04,0
71699,RUNNING,-4.2724,-4.2729,1.7844,1.922,11.19,0
71799,RUNNING,-4.341,-4.3177,1.9643,2.1515,17.28,0
71899,RUNNING,-4.341,-4.3296,2.1427,2.0223,-1.69,0
71999,RUNNING,-4.341,-4.3371,2.1881,2.0958,-1.27,0
72099,RUNNING,-4.341,-4.3391,2.1957,2.109,-2.14,0
72199,RUNNING,-4.341,-4.3404,2.197,2.1562,-0.09,0
72299,RUNNING,-4.341,-4.3407,2.1241,2.1933,6.97,0
72399,RUNNING,-4.341,-4.3409,2.1119,2.2361,11.61,0
72499,RUNNING,-4.2724,-4.306,2.1766,2.2665,9.32,0
72599,RUNNING,-4.2724,-4.284,2.1207,2.2153,10.54,0
72699,RUNNING,-4.2724,-4.2781,2.2044,2.3409,14.92,0
72799,RUNNING,-4.2724,-4.2744,2.3647,2.3666,7.48,0
72899,RUNNING,-4.2724,-4.2734,2.5025,2.4221,1.92,0
72999,RUNNING,-4.2724,-4.2728,2.6142,2.4607,-4.26,0
73099,RUNNING,-4.2724,-4.2726,2.6329,2.5044,-4.53,0
73199,RUNNING,-4.2724,-4.2725,2.5693,2.5452,0.92,0
73299,RUNNING,-4.341,-4.293,2.5523,2.5931,5.94,0
73399,RUNNING,-4.341,-4.3246,2.6335,2.7672,13.48,0
73499,RUNNING,-4.341,-4.333,2.7541,2.6886,1.42,0
73600,RUNNING,-4.341,-4.3383,2.8027,2.7527,1.65,0
73700,RUNNING,-4.341,-4.3397,2.8109,2.7744,1.88,0
73800,RUNNING,-4.341,-4.3406,2.8122,2.82,4.43,0
73900,RUNNING,-4.341,-4.3408,2.8125,2.8586,7.12,0
74000,RUNNING,-4.341,-4.341,2.8793,2.9011,6.07,0
74100,RUNNING,-4.341,-4.341,2.9417,2.9425,5.05,0
74200,RUNNING,-4.341,-4.3165,3.0472,3.0,0.04,0
74300,RUNNING,-4.341,-4.329,3.1381,2.9973,-7.02,0
74400,RUNNING,-4.341,-4.3369,3.1597,3.0,-10.1,0
74500,RUNNING,-4.341,-4.339,3.0902,3.0,-7.28,0
74600,RUNNING,-4.341,-4.3404,3.0117,3.0,-3.09,0
74700,RUNNING,-4.341,-4.3407,2.9345,3.0,1.93,0
74800,RUNNING,-4.341,-4.3308,2.9061,3.0,3.86,0
74900,RUNNING,-4.341,-4.336,2.9745,3.0,0.29,0
75000,RUNNING,-4.2724,-4.2943,2.986,2.8655,-9.96,0
75100,RUNNING,-4.2724,-4.2831,2.9211,3.0,2.42,0
75200,RUNNING,-4.2724,-4.2761,2.9039,3.0,4.6,0
75300,RUNNING,-4.2724,-4.2742,2.901,3.0,6.01,0
75400,RUNNING,-4.2724,-4.2731,2.9453,3.0,4.41,0
