point_index,label,captured_at_iso,samples,mean_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_raw_adc,std_raw_adc,min_raw_adc,max_raw_adc,mean_voltage_v,std_voltage_v,min_voltage_v,max_voltage_v
0,far_00,2026-03-13T12:06:23,25,22.1600,3.0333,14.3000,24.4000,270.4400,43.3341,244.0000,385.0000,1.3205,0.2116,1.1910,1.8800
1,pt_01,2026-03-13T12:07:03,25,21.8920,3.2001,14.6000,23.7000,273.7200,45.0985,250.0000,378.0000,1.3366,0.2202,1.2210,1.8460
2,pt_02,2026-03-13T12:07:14,25,23.6480,0.0510,23.6000,23.7000,250.5200,0.5099,250.0000,251.0000,1.2236,0.0025,1.2210,1.2260
3,pt_03,2026-03-13T12:07:22,25,21.8320,3.3462,14.3000,23.7000,275.0800,48.3261,250.0000,385.0000,1.3432,0.2360,1.2210,1.8800
4,pt_04,2026-03-13T12:07:29,25,22.1840,3.1088,14.1000,24.0000,270.4800,44.8935,248.0000,389.0000,1.3207,0.2191,1.2110,1.8990
5,pt_05,2026-03-13T12:07:35,25,22.0880,2.6967,15.2000,24.4000,269.7600,36.5482,244.0000,366.0000,1.3172,0.1783,1.1910,1.7870
6,pt_06,2026-03-13T12:07:44,25,23.6520,0.0510,23.6000,23.7000,250.4800,0.5099,250.0000,251.0000,1.2234,0.0025,1.2210,1.2260
7,pt_07,2026-03-13T12:07:53,25,20.8720,3.2116,13.4000,23.3000,285.9200,49.5328,254.0000,407.0000,1.3961,0.2418,1.2400,1.9870
8,pt_08,2026-03-13T12:08:31,25,18.5680,2.8744,11.6000,21.5000,315.8400,55.0543,272.0000,459.0000,1.5422,0.2687,1.3280,2.2410
9,pt_09,2026-03-13T12:08:41,25,17.1680,2.6317,10.9000,19.5000,337.3200,58.0694,295.0000,485.0000,1.6470,0.2836,1.4400,2.3680
10,pt_10,2026-03-13T12:08:50,25,15.5400,1.9498,9.9000,18.0000,364.2800,51.1285,316.0000,525.0000,1.7788,0.2496,1.5430,2.5630
11,pt_11,2026-03-13T12:09:00,25,13.0360,1.5655,9.0000,14.5000,422.5600,55.0092,380.0000,569.0000,2.0632,0.2685,1.8550,2.7780
12,pt_12,2026-03-13T12:09:16,25,11.0800,1.3748,7.8000,13.6000,484.6800,57.6149,401.0000,649.0000,2.3667,0.2813,1.9580,3.1690
13,pt_13,2026-03-13T12:09:25,25,10.5680,1.1778,7.8000,11.3000,504.0000,59.0699,472.0000,646.0000,2.4609,0.2883,2.3050,3.1540
14,pt_14,2026-03-13T12:09:28,25,8.2640,1.2773,6.2000,11.1000,624.7600,74.3888,478.0000,790.0000,3.0506,0.3632,2.3340,3.8570
15,pt_15,2026-03-13T12:09:32,25,9.0000,1.2045,6.1000,10.3000,580.5200,74.2895,508.0000,793.0000,2.8345,0.3628,2.4800,3.8720
16,pt_16,2026-03-13T12:09:36,25,8.3200,0.7958,6.2000,9.9000,613.0800,52.5214,527.0000,782.0000,2.9936,0.2564,2.5730,3.8180
17,pt_17,2026-03-13T12:09:54,25,8.2840,0.6485,6.2000,8.7000,616.2000,49.4360,589.0000,780.0000,3.0090,0.2414,2.8760,3.8090
18,pt_18,2026-03-13T12:10:00,25,10.0760,1.3220,7.7000,10.9000,527.4000,68.9348,485.0000,654.0000,2.5752,0.3365,2.3680,3.1930
