t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,test_phase
350,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0,
450,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,0,0.0,0,0,4,0.0,0.0,0,
550,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,0,0.0,0,0,6,0.0,0.0,0,
650,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,0,0.0,0,0,9,0.0,0.0,0,
750,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,0,0.0,0,0,11,0.0,0.0,0,
850,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,0,0.0,0,0,14,0.0,0.0,0,
950,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,0,0.0,0,0,16,0.0,0.0,0,
1050,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,0,0.0,0,0,19,0.0,0.0,0,
1150,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,0,0.0,0,0,21,0.0,0.0,0,
1250,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,0,0.0,0,0,24,0.0,0.0,0,
1350,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,1,0.0,0,0,26,0.0,0.0,0,
1451,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,1,0.0,0,0,29,0.0,0.0,0,
1551,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,1,0.0,0,0,31,0.0,0.0,0,
1651,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,1,0.0,0,0,34,0.0,0.0,0,
1751,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,1,0.0,0,0,36,0.0,0.0,0,
1851,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,1,0.0,0,0,39,0.0,0.0,0,
1951,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,1,0.0,0,0,41,0.0,0.0,0,
2051,SAFE_DISABLED,0.0,0.0,-8.7012,0.0,0.0,1,0.0,0,0,44,0.0,0.0,0,
