t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,-1.6699,16.4355,idle,
450,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
550,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
650,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
750,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
850,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
950,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
1050,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
1150,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
1250,SAFE_DISABLED,-11.8038,-11.8518,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
1350,SAFE_DISABLED,-11.8038,-11.8203,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
1451,SAFE_DISABLED,-11.8038,-11.8119,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
1551,SAFE_DISABLED,-11.8724,-11.8272,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
1651,SAFE_DISABLED,-11.8724,-11.8502,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
1751,SAFE_DISABLED,-11.8724,-11.8648,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
1851,SAFE_DISABLED,-11.8724,-11.8687,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
1951,SAFE_DISABLED,-11.8724,-11.8711,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
2051,SAFE_DISABLED,-11.8724,-11.8718,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
2151,SAFE_DISABLED,-11.8724,-11.8722,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
2251,SAFE_DISABLED,-11.8724,-11.8723,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
2351,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
2451,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
2551,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
2651,SAFE_DISABLED,-11.8724,-11.8724,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
2751,SAFE_DISABLED,-12.2154,-12.1122,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
2851,SAFE_DISABLED,-12.284,-12.1998,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
2951,SAFE_DISABLED,-12.284,-12.2551,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
3051,SAFE_DISABLED,-12.284,-12.2699,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
3151,SAFE_DISABLED,-12.1468,-12.238,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
3251,SAFE_DISABLED,-12.2154,-12.2409,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
3351,SAFE_DISABLED,-12.284,-12.2447,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,-1.6699,16.4355,idle,
77487,READY,-0.4119,-0.587,0.0,0.0,0.0,0,0.0,23,1,0,0.0,0.0,0,16.5234,18.2812,idle,
77587,READY,-0.0003,-0.1872,0.0,0.0,0.0,0,0.0,2,1,0,0.0,0.0,0,16.5234,18.2812,idle,
77687,READY,0.4799,0.0522,0.0,0.0,0.0,0,0.0,23,1,0,0.0,0.0,0,16.5234,18.2812,idle,
77787,READY,0.4799,0.3821,0.0,0.0,0.0,0,0.0,3,1,0,0.0,0.0,0,16.5234,18.2812,idle,
77887,READY,1.7833,0.823,0.0,0.0,0.0,0,0.0,23,1,0,0.0,0.0,0,16.5234,18.2812,idle,
77987,READY,0.8915,1.1964,0.0,0.0,0.0,0,0.0,3,1,0,0.0,0.0,0,16.5234,18.2812,idle,
78087,READY,1.8519,1.5163,0.0,0.0,0.0,0,0.0,23,1,0,0.0,0.0,0,16.5234,18.2812,idle,
78187,READY,1.7833,1.7018,0.0,0.0,0.0,0,0.0,2,1,0,0.0,0.0,0,16.5234,18.2812,idle,
78287,READY,1.7147,1.7227,0.0,0.0,0.0,0,0.0,22,1,0,0.0,0.0,0,16.5234,18.2812,idle,
78387,READY,2.1949,1.8615,0.0,0.0,0.0,0,0.0,3,1,0,0.0,0.0,0,16.5234,18.2812,idle,
78487,READY,3.0867,2.3855,0.0,0.0,0.0,0,0.0,23,1,0,0.0,0.0,0,16.5234,18.2812,idle,
78587,READY,2.7437,2.6712,0.0,0.0,0.0,0,0.0,3,1,0,0.0,0.0,0,16.5234,18.2812,idle,
78687,READY,2.7437,2.7082,0.0,0.0,0.0,0,0.0,23,1,0,0.0,0.0,0,16.5234,18.2812,idle,
78787,READY,3.4983,3.0947,0.0,0.0,0.0,0,0.0,3,1,0,0.0,0.0,0,16.5234,18.2812,idle,
78887,READY,3.0867,3.177,0.0,0.0,0.0,0,0.0,22,1,0,0.0,0.0,0,16.5234,18.2812,idle,
78987,READY,2.6751,2.8573,0.0,0.0,0.0,0,0.0,2,1,0,0.0,0.0,0,16.5234,18.2812,idle,
79087,READY,2.6751,2.7644,0.0,0.0,0.0,0,0.0,23,1,0,0.0,0.0,0,16.5234,18.2812,idle,
79187,READY,2.6065,2.6606,0.0,0.0,0.0,0,0.0,3,1,0,0.0,0.0,0,16.5234,18.2812,idle,
79287,READY,2.1949,2.5095,0.0,0.0,0.0,0,0.0,22,1,0,0.0,0.0,0,16.5234,18.2812,idle,
79387,READY,0.8229,1.5325,0.0,0.0,0.0,0,0.0,2,1,0,0.0,0.0,0,16.5234,18.2812,idle,
79488,READY,2.1949,1.8703,0.0,0.0,0.0,0,0.0,22,1,0,0.0,0.0,0,16.5234,18.2812,idle,
