t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,x_linear_cm,x_linear_filt_cm,x_ctrl_cm,x_ctrl_filt_cm,x_feedback_cm,feedback_blend,pos_fresh,pos_held,pos_control_usable,control_hold_active,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,10.5469,19.8633,idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,
450,SAFE_DISABLED,-13.1369,-13.1369,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.1369,-13.1369,-13.1369,-13.1369,-13.1369,0.4,1,0,1,0,
550,SAFE_DISABLED,-13.1369,-13.1369,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.1369,-13.1369,-13.1369,-13.1369,-13.1369,0.4,1,0,1,0,
650,SAFE_DISABLED,-13.1369,-13.1369,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.1369,-13.1369,-13.1369,-13.1369,-13.1369,0.4,1,0,1,0,
750,SAFE_DISABLED,-13.1369,-13.1441,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.1369,-13.1441,-13.1369,-13.1441,-13.1441,0.4,1,0,1,0,
850,SAFE_DISABLED,-13.2055,-13.1845,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.2055,-13.1845,-13.2055,-13.1845,-13.1845,0.4,1,0,1,0,
950,SAFE_DISABLED,-13.2055,-13.1952,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.2055,-13.1952,-13.2055,-13.1952,-13.1952,0.4,1,0,1,0,
1050,SAFE_DISABLED,-13.2055,-13.2005,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.2055,-13.2005,-13.2055,-13.2005,-13.2005,0.4,1,0,1,0,
1150,SAFE_DISABLED,-13.1369,-13.1832,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.1369,-13.1832,-13.1369,-13.1832,-13.1832,0.4,1,0,1,0,
1250,SAFE_DISABLED,-13.0683,-13.1534,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.0683,-13.1534,-13.0683,-13.1534,-13.1534,0.4,1,0,1,0,
1350,SAFE_DISABLED,-13.0683,-13.11,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.0683,-13.11,-13.0683,-13.11,-13.11,0.4,1,0,1,0,
1451,SAFE_DISABLED,-13.2055,-13.1526,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.2055,-13.1526,-13.2055,-13.1526,-13.1526,0.4,1,0,1,0,
1551,SAFE_DISABLED,-13.0683,-13.1096,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,10.5469,19.8633,idle,-13.0683,-13.1096,-13.0683,-13.1096,-13.1096,0.4,1,0,1,0,
1651,SAFE_DISABLED,-12.7253,-12.9076,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,10.5469,19.8633,idle,-12.7253,-12.9076,-12.7253,-12.9076,-12.9076,0.4,1,0,1,0,
1751,SAFE_DISABLED,-12.7253,-12.8146,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,10.5469,19.8633,idle,-12.7253,-12.8146,-12.7253,-12.8146,-12.8146,0.4,1,0,1,0,
