t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,x_linear_cm,x_linear_filt_cm,x_ctrl_cm,x_ctrl_filt_cm,x_feedback_cm,feedback_blend,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,12.4805,19.5117,idle,0.0,0.0,0.0,0.0,0.0,0.0,
450,SAFE_DISABLED,-2.3435,-2.3195,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3435,-2.3195,-2.3435,-2.3195,-2.3195,0.4,
550,SAFE_DISABLED,-2.3778,-2.3506,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3506,-2.3778,-2.3506,-2.3506,0.4,
650,SAFE_DISABLED,-2.3778,-2.3572,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3572,-2.3778,-2.3572,-2.3572,0.4,
750,SAFE_DISABLED,-2.3778,-2.3707,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3707,-2.3778,-2.3707,-2.3707,0.4,
850,SAFE_DISABLED,-2.3778,-2.3743,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3743,-2.3778,-2.3743,-2.3743,0.4,
950,SAFE_DISABLED,-2.3778,-2.3766,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3766,-2.3778,-2.3766,-2.3766,0.4,
1050,SAFE_DISABLED,-2.3778,-2.3772,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3772,-2.3778,-2.3772,-2.3772,0.4,
1150,SAFE_DISABLED,-2.3778,-2.3776,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3776,-2.3778,-2.3776,-2.3776,0.4,
1250,SAFE_DISABLED,-2.3778,-2.3777,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3777,-2.3778,-2.3777,-2.3777,0.4,
1350,SAFE_DISABLED,-2.3778,-2.3777,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3777,-2.3778,-2.3777,-2.3777,0.4,
1451,SAFE_DISABLED,-2.3778,-2.3777,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3777,-2.3778,-2.3777,-2.3777,0.4,
1551,SAFE_DISABLED,-1.9662,-2.2543,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,12.4805,19.5117,idle,-1.9662,-2.2543,-1.9662,-2.2543,-2.2543,0.4,
1651,SAFE_DISABLED,-1.9662,-2.065,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,12.4805,19.5117,idle,-1.9662,-2.065,-1.9662,-2.065,-2.065,0.4,
1751,SAFE_DISABLED,-2.3778,-2.2101,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.2101,-2.3778,-2.2101,-2.2101,0.4,
1851,SAFE_DISABLED,-2.3092,-2.275,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3092,-2.275,-2.3092,-2.275,-2.275,0.4,
1951,SAFE_DISABLED,-2.3092,-2.3219,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3092,-2.3219,-2.3092,-2.3219,-2.3219,0.4,
2051,SAFE_DISABLED,-2.3778,-2.336,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.336,-2.3778,-2.336,-2.336,0.4,
2151,SAFE_DISABLED,-1.8976,-2.1988,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,12.4805,19.5117,idle,-1.8976,-2.1988,-1.8976,-2.1988,-2.1988,0.4,
2251,SAFE_DISABLED,-2.3778,-2.145,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.145,-2.3778,-2.145,-2.145,0.4,
2351,SAFE_DISABLED,-2.3778,-2.2637,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.2637,-2.3778,-2.2637,-2.2637,0.4,
2451,SAFE_DISABLED,-2.3778,-2.3386,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3386,-2.3778,-2.3386,-2.3386,0.4,
2551,SAFE_DISABLED,-2.3778,-2.3586,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3586,-2.3778,-2.3586,-2.3586,0.4,
2651,SAFE_DISABLED,-2.3778,-2.3712,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,12.4805,19.5117,idle,-2.3778,-2.3712,-2.3778,-2.3712,-2.3712,0.4,
