capture_index,point_direction,point_number,label,captured_at_iso,samples_requested,samples_captured,valid_samples,valid_fraction,mean_distance_cm,median_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_pulse_us,std_pulse_us,min_pulse_us,max_pulse_us
0,out,0,out_p00,2026-03-13T15:45:38,25,25,25,1.0000,27.0408,27.1000,0.2121,26.6900,27.5200,1568.4800,12.3461,1548.0000,1596.0000
1,out,1,out_p01,2026-03-13T15:45:43,25,25,25,1.0000,26.9892,27.1000,0.2501,26.6900,27.5900,1565.4400,14.5547,1548.0000,1600.0000
2,out,2,out_p02,2026-03-13T15:45:46,25,25,22,0.8800,24.5732,25.8600,3.6981,15.2400,28.4100,1437.1200,205.8074,884.0000,1648.0000
3,out,3,out_p03,2026-03-13T15:45:49,25,25,23,0.9200,25.8378,25.8600,0.7380,23.7900,26.7600,1498.7200,43.2160,1380.0000,1552.0000
4,out,4,out_p04,2026-03-13T15:45:53,25,25,19,0.7600,25.0916,25.0300,0.4554,24.5500,25.9300,1453.4400,24.7084,1424.0000,1504.0000
5,out,5,out_p05,2026-03-13T15:45:57,25,25,21,0.8400,22.8567,24.9700,4.0711,15.2400,27.3100,1327.0400,220.5456,884.0000,1584.0000
6,out,6,out_p06,2026-03-13T15:46:01,25,25,17,0.6800,16.9247,14.2800,4.5502,12.6200,25.4500,950.8800,245.1463,732.0000,1476.0000
7,out,7,out_p07,2026-03-13T15:46:06,25,25,23,0.9200,20.2096,17.3800,6.6370,10.9700,29.7200,1174.7200,398.1000,636.0000,1724.0000
8,out,8,out_p08,2026-03-13T15:46:09,25,25,20,0.8000,11.1135,10.4850,1.6470,9.3100,14.8300,643.5200,94.7159,540.0000,860.0000
9,out,9,out_p09,2026-03-13T15:46:13,25,25,23,0.9200,10.7617,10.1400,2.1669,7.9300,18.9000,628.8000,121.3919,460.0000,1096.0000
10,ret,9,ret_p09,2026-03-13T15:46:21,25,25,24,0.9600,9.5654,8.7950,1.6999,7.9300,14.4100,566.0800,111.6729,460.0000,836.0000
11,ret,8,ret_p08,2026-03-13T15:46:25,25,25,20,0.8000,7.8140,7.4500,1.2435,6.6900,10.6900,767.6800,1516.9851,388.0000,8040.0000
12,ret,7,ret_p07,2026-03-13T15:46:29,25,25,19,0.7600,6.3884,5.5200,1.9479,4.0000,9.1700,356.0000,107.3747,232.0000,532.0000
13,ret,6,ret_p06,2026-03-13T15:46:33,25,25,23,0.9200,6.7348,5.6600,2.3541,4.0000,10.4800,381.9200,134.7943,232.0000,608.0000
14,ret,5,ret_p05,2026-03-13T15:46:39,25,25,20,0.8000,10.2720,10.0350,1.9356,7.9300,13.2400,1221.2800,1714.5972,460.0000,5900.0000
15,ret,4,ret_p04,2026-03-13T15:46:42,25,25,21,0.8400,9.7962,9.3100,1.4133,7.9300,12.8300,1273.7600,1956.1643,460.0000,6496.0000
16,ret,3,ret_p03,2026-03-13T15:46:48,25,25,19,0.7600,10.7032,12.5500,2.8567,6.1400,13.5200,617.9200,169.4820,356.0000,784.0000
17,ret,2,ret_p02,2026-03-13T15:46:52,25,25,19,0.7600,13.6458,12.2100,2.9456,10.5500,18.5500,791.2000,169.4776,612.0000,1076.0000
18,ret,1,ret_p01,2026-03-13T15:46:56,25,25,20,0.8000,21.0105,25.0000,7.7896,8.8300,30.0700,1240.1600,446.3817,512.0000,1744.0000
