t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,x_linear_cm,x_linear_filt_cm,x_ctrl_cm,x_ctrl_filt_cm,x_feedback_cm,feedback_blend,pos_fresh,pos_held,pos_control_usable,control_hold_active,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,19.5996,18.1934,idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,
450,SAFE_DISABLED,2.3634,2.3874,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,19.5996,18.1934,idle,2.3634,2.3874,2.3634,2.3874,2.3874,0.4,1,0,1,0,
550,SAFE_DISABLED,2.3977,2.3942,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,19.5996,18.1934,idle,2.3977,2.3942,2.3977,2.3942,2.3942,0.4,1,0,1,0,
650,SAFE_DISABLED,2.3977,2.396,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,19.5996,18.1934,idle,2.3977,2.396,2.3977,2.396,2.396,0.4,1,0,1,0,
750,SAFE_DISABLED,2.3977,2.3971,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,19.5996,18.1934,idle,2.3977,2.3971,2.3977,2.3971,2.3971,0.4,1,0,1,0,
850,SAFE_DISABLED,2.3977,2.3974,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,19.5996,18.1934,idle,2.3977,2.3974,2.3977,2.3974,2.3974,0.4,1,0,1,0,
950,SAFE_DISABLED,2.3291,2.3626,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,19.5996,18.1934,idle,2.3291,2.3626,2.3291,2.3626,2.3626,0.4,1,0,1,0,
1050,SAFE_DISABLED,2.3291,2.3455,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,19.5996,18.1934,idle,2.3291,2.3455,2.3291,2.3455,2.3455,0.4,1,0,1,0,
1150,SAFE_DISABLED,2.3291,2.3347,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,19.5996,18.1934,idle,2.3291,2.3347,2.3291,2.3347,2.3347,0.4,1,0,1,0,
1250,SAFE_DISABLED,2.3291,2.3318,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,19.5996,18.1934,idle,2.3291,2.3318,2.3291,2.3318,2.3318,0.4,1,0,1,0,
