phase,x_ref_cm,duration_s,step_cm,steady_state_error_cm,overshoot_cm,settling_time_s,rise_time_s,rmse_cm,iae_cm_s,itae_cm_s2,peak_abs_output_steps,peak_abs_beam_deg,tail_theta_err_deg,peak_abs_theta_cmd_deg,peak_abs_theta_meas_deg,max_as5600_invalid_s,max_abs_step_vs_encoder_deg
hold_center,13.0,29.902,,-0.4897333333333336,0.0,,,0.8764000984710122,23.67000439999999,363.4438364629997,22.2222,3.7124800335501695,-0.12286190476190476,2.5,2.9359,0.0,1.2123784551065464
hold_far,17.0,29.900000000000002,4.0,-5.038371428571429,0.0,,,4.839519541442105,144.39450000000002,2166.7533140000005,31.1111,4.500010522957486,0.0991,3.5,3.9453,0.0,1.2125105229574857
hold_near,9.0,0.29999999999999716,8.0,2.9852749999999997,0.0,,,2.9944176299407537,0.9261699999999893,0.18512499999999604,31.1111,4.050009470661737,3.3461749999999997,3.5,4.0077,0.0,1.0931752982193004
