t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,test_phase
350,SAFE_DISABLED,4.8381,4.6941,-4.3066,0.0,0.0,0,0.0,
450,SAFE_DISABLED,5.0096,4.8622,-4.3066,0.0,0.0,0,0.0,
550,SAFE_DISABLED,4.9753,4.9365,-4.3066,0.0,0.0,0,0.0,
650,SAFE_DISABLED,4.9753,4.9563,-4.3066,0.0,0.0,0,0.0,
750,SAFE_DISABLED,5.0439,4.9894,-4.3066,0.0,0.0,0,0.0,
850,SAFE_DISABLED,5.0439,5.0172,-4.3066,0.0,0.0,0,0.0,
950,SAFE_DISABLED,5.0439,5.0348,-4.3066,0.0,0.0,0,0.0,
1050,SAFE_DISABLED,5.0439,5.0394,-4.3066,0.0,0.0,0,0.0,
1150,SAFE_DISABLED,5.0439,5.0424,-4.3066,0.0,0.0,0,0.0,
1250,SAFE_DISABLED,5.0439,5.0432,-4.3066,0.0,0.0,0,0.0,
1350,SAFE_DISABLED,5.0439,5.0437,-4.3066,0.0,0.0,0,0.0,
1451,SAFE_DISABLED,5.0439,5.0438,-4.3066,0.0,0.0,0,0.0,
1551,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
1651,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
1751,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
1851,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
1951,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
2051,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
2151,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
2251,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
2351,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
2451,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
2551,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
2651,SAFE_DISABLED,5.0439,5.0439,-4.3066,0.0,0.0,0,0.0,
104908,READY,8.6719,8.6827,25.3472,0.0,0.0,0,0.0,
105008,READY,8.6719,8.6756,25.3472,0.0,0.0,0,0.0,
105108,READY,8.3289,8.4988,25.3472,0.0,0.0,0,0.0,
105208,READY,8.2603,8.3522,25.3472,0.0,0.0,0,0.0,
105308,READY,8.3289,8.3259,25.3472,0.0,0.0,0,0.0,
105408,READY,8.3289,8.3134,25.3472,0.0,0.0,0,0.0,
105508,READY,8.3289,8.3213,25.3472,0.0,0.0,0,0.0,
105608,READY,8.6719,8.5516,25.3472,0.0,0.0,0,0.0,
105708,READY,8.7405,8.6335,25.3472,0.0,0.0,0,0.0,
105808,READY,8.7405,8.7038,25.3472,0.0,0.0,0,0.0,
105908,READY,8.6719,8.7019,25.3472,0.0,0.0,0,0.0,
106008,READY,8.7405,8.7172,25.3472,0.0,0.0,0,0.0,
106108,READY,8.7405,8.7147,25.3472,0.0,0.0,0,0.0,
106208,READY,8.6719,8.6866,25.3472,0.0,0.0,0,0.0,
106308,READY,8.6719,8.6791,25.3472,0.0,0.0,0,0.0,
106408,READY,8.6719,8.6888,25.3472,0.0,0.0,0,0.0,
106508,READY,8.7405,8.7007,25.3472,0.0,0.0,0,0.0,
106608,READY,8.7405,8.7024,25.3472,0.0,0.0,0,0.0,
106708,READY,8.6719,8.6868,25.3472,0.0,0.0,0,0.0,
106808,READY,8.6719,8.677,25.3472,0.0,0.0,0,0.0,
106908,READY,8.6719,8.6744,25.3472,0.0,0.0,0,0.0,
107008,READY,8.7405,8.6933,25.3472,0.0,0.0,0,0.0,
107108,READY,8.6719,8.6824,25.3472,0.0,0.0,0,0.0,
107208,READY,8.3289,8.5726,25.3472,0.0,0.0,0,0.0,
107308,READY,8.3289,8.4483,25.3472,0.0,0.0,0,0.0,
107408,READY,8.3289,8.3698,25.3472,0.0,0.0,0,0.0,
107508,READY,8.3289,8.349,25.3472,0.0,0.0,0,0.0,
107608,READY,8.6719,8.4387,25.3472,0.0,0.0,0,0.0,
107708,READY,8.6719,8.5576,25.3472,0.0,0.0,0,0.0,
107808,READY,8.7405,8.6778,25.3472,0.0,0.0,0,0.0,
107908,READY,8.7405,8.7097,25.3472,0.0,0.0,0,0.0,
108008,READY,8.3289,8.546,25.3472,0.0,0.0,0,0.0,
108108,READY,8.3289,8.4352,25.3472,0.0,0.0,0,0.0,
108208,READY,8.3289,8.3654,25.3472,0.0,0.0,0,0.0,
108308,READY,8.3289,8.3468,25.3472,0.0,0.0,0,0.0,
108408,READY,8.2603,8.3144,25.3472,0.0,0.0,0,0.0,
108508,READY,8.2603,8.2868,25.3472,0.0,0.0,0,0.0,
108608,READY,8.2603,8.2694,25.3472,0.0,0.0,0,0.0,
108708,READY,8.3289,8.2853,25.3472,0.0,0.0,0,0.0,
108808,READY,8.7405,8.4374,25.3472,0.0,0.0,0,0.0,
108908,READY,8.7405,8.592,25.3472,0.0,0.0,0,0.0,
109008,READY,8.7405,8.6751,25.3472,0.0,0.0,0,0.0,
