t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,test_phase
350,SAFE_DISABLED,1.3528,1.3528,-13.0013,0.0,0.0,0,0.0,
450,SAFE_DISABLED,1.5243,1.4042,-13.0013,0.0,0.0,0,0.0,
550,SAFE_DISABLED,1.6958,1.5886,-13.0013,0.0,0.0,0,0.0,
650,SAFE_DISABLED,1.6958,1.6432,-13.0013,0.0,0.0,0,0.0,
750,SAFE_DISABLED,1.6272,1.6377,-12.9884,0.0,0.0,0,0.0,
850,SAFE_DISABLED,1.6272,1.6323,-12.9992,0.0,0.0,0,0.0,
950,SAFE_DISABLED,1.6272,1.6289,-13.001,0.0,0.0,0,0.0,
1050,SAFE_DISABLED,1.6272,1.628,-13.0013,0.0,0.0,0,0.0,
1150,SAFE_DISABLED,1.6272,1.6275,-13.0013,0.0,0.0,0,0.0,
1250,SAFE_DISABLED,1.2842,1.51,-13.0013,0.0,0.0,0,0.0,
1350,SAFE_DISABLED,1.0098,1.2217,-13.0013,0.0,0.0,0,0.0,
1451,SAFE_DISABLED,1.0098,1.1136,-13.0013,0.0,0.0,0,0.0,
1551,SAFE_DISABLED,1.147,1.0865,-13.0013,0.0,0.0,0,0.0,
1651,SAFE_DISABLED,1.6272,1.2758,-13.0013,0.0,0.0,0,0.0,
1751,SAFE_DISABLED,1.6272,1.5066,-12.995,0.0,0.0,0,0.0,
1851,SAFE_DISABLED,1.2842,1.4652,-13.0003,0.0,0.0,0,0.0,
1951,SAFE_DISABLED,0.9412,1.1757,-13.0012,0.0,0.0,0,0.0,
2051,SAFE_DISABLED,0.1866,0.7288,-13.0013,0.0,0.0,0,0.0,
2151,SAFE_DISABLED,0.1866,0.3726,-13.0013,0.0,0.0,0,0.0,
2251,SAFE_DISABLED,0.1866,0.2777,-13.0013,0.0,0.0,0,0.0,
2351,SAFE_DISABLED,0.5982,0.4479,-13.0013,0.0,0.0,0,0.0,
2451,SAFE_DISABLED,0.5982,0.5245,-13.0013,0.0,0.0,0,0.0,
2551,SAFE_DISABLED,0.6668,0.6079,-13.0013,0.0,0.0,0,0.0,
2651,SAFE_DISABLED,0.6668,0.6379,-13.0013,0.0,0.0,0,0.0,
2751,SAFE_DISABLED,1.0784,0.838,-13.0013,0.0,0.0,0,0.0,
2851,SAFE_DISABLED,1.0784,0.9606,-13.0013,0.0,0.0,0,0.0,
2951,SAFE_DISABLED,1.0784,1.038,-12.9923,0.0,0.0,0,0.0,
3051,SAFE_DISABLED,1.0784,1.0586,-12.9998,0.0,0.0,0,0.0,
3151,SAFE_DISABLED,1.0784,1.0716,-13.0011,0.0,0.0,0,0.0,
3251,SAFE_DISABLED,1.6272,1.2973,-13.0013,0.0,0.0,0,0.0,
3351,SAFE_DISABLED,1.6272,1.514,-12.9884,0.0,0.0,0,0.0,
3451,SAFE_DISABLED,1.6272,1.5717,-12.9992,0.0,0.0,0,0.0,
3551,SAFE_DISABLED,1.6272,1.6081,-13.001,0.0,0.0,0,0.0,
3651,SAFE_DISABLED,1.5586,1.5973,-12.9922,0.0,0.0,0,0.0,
3751,SAFE_DISABLED,1.6958,1.6274,-12.9998,0.0,0.0,0,0.0,
3851,SAFE_DISABLED,1.6958,1.6623,-13.0011,0.0,0.0,0,0.0,
3951,SAFE_DISABLED,1.3528,1.5526,-13.0013,0.0,0.0,0,0.0,
4051,SAFE_DISABLED,1.2156,1.3951,-13.0013,0.0,0.0,0,0.0,
4151,SAFE_DISABLED,1.2842,1.3222,-12.9923,0.0,0.0,0,0.0,
4251,SAFE_DISABLED,1.147,1.2616,-12.9998,0.0,0.0,0,0.0,
