phase,x_ref_cm,duration_s,step_cm,steady_state_error_cm,overshoot_cm,settling_time_s,rise_time_s,rmse_cm,iae_cm_s,itae_cm_s2,peak_abs_output_steps,peak_abs_beam_deg
hold_center,13.0,29.902,,-3.920252380952381,0.0,,,3.8843862433336875,115.9862872,1736.2467493832,80.0,9.000021045914972
hold_far,17.0,29.900000000000002,4.0,-7.953585714285715,0.0,,,7.881861585638678,235.63375000000002,3539.261628,112.0,12.599972168501447
hold_near,9.0,35.199999999999996,8.0,-0.3255857142857144,0.5321999999999996,,0.0,0.33785122565988523,11.39154,198.17122799999999,112.0,12.599972168501447
