t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,49.3945,27.9053,idle,
450,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,49.3945,27.9053,idle,
550,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
650,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
750,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
850,SAFE_DISABLED,1.4406,1.3926,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,49.3945,27.9053,idle,
950,SAFE_DISABLED,1.4406,1.4241,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,49.3945,27.9053,idle,
1050,SAFE_DISABLED,1.7836,1.593,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,49.3945,27.9053,idle,
1150,SAFE_DISABLED,1.7836,1.7182,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,49.3945,27.9053,idle,
1250,SAFE_DISABLED,1.715,1.731,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,49.3945,27.9053,idle,
1350,SAFE_DISABLED,1.372,1.4951,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
1451,SAFE_DISABLED,1.372,1.4467,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
1551,SAFE_DISABLED,1.372,1.3976,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,49.3945,27.9053,idle,
1651,SAFE_DISABLED,1.372,1.3845,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,49.3945,27.9053,idle,
1751,SAFE_DISABLED,1.4406,1.4113,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
1851,SAFE_DISABLED,1.372,1.3912,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
1951,SAFE_DISABLED,1.372,1.3786,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
2051,SAFE_DISABLED,1.372,1.3752,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
2151,SAFE_DISABLED,1.372,1.3731,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,49.3945,27.9053,idle,
2251,SAFE_DISABLED,1.372,1.3725,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,49.3945,27.9053,idle,
2351,SAFE_DISABLED,1.372,1.3722,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
2451,SAFE_DISABLED,1.372,1.3721,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
2551,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
2651,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
2751,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,49.3945,27.9053,idle,
2851,SAFE_DISABLED,1.4406,1.407,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
2951,SAFE_DISABLED,1.372,1.384,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
3051,SAFE_DISABLED,1.372,1.3779,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
3151,SAFE_DISABLED,1.372,1.374,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
3251,SAFE_DISABLED,1.372,1.373,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
3351,SAFE_DISABLED,1.372,1.3723,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,49.3945,27.9053,idle,
3451,SAFE_DISABLED,1.372,1.3721,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
3551,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
3651,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
3751,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
3851,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
3951,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,49.3945,27.9053,idle,
4051,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
4151,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
4251,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,49.3945,27.9053,idle,
4352,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,49.3945,27.9053,idle,
4452,SAFE_DISABLED,1.372,1.372,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,49.3945,27.9053,idle,
102608,READY,-0.9353,-0.9314,0.0,0.0,0.0,0,0.0,10,1,0,0.0,0.0,0,13.3594,16.5234,idle,
102708,READY,-0.9353,-0.9334,0.0,0.0,0.0,0,0.0,30,1,0,0.0,0.0,0,13.3594,16.5234,idle,
102808,READY,-0.8667,-0.9141,0.0,0.0,0.0,0,0.0,5,1,0,0.0,0.0,0,13.3594,16.5234,idle,
102908,READY,-0.8667,-0.8899,0.0,0.0,0.0,0,0.0,25,1,0,0.0,0.0,0,13.3594,16.5234,idle,
103008,READY,-0.8667,-0.8747,0.0,0.0,0.0,0,0.0,4,1,0,0.0,0.0,0,13.3594,16.5234,idle,
103108,READY,-0.8667,-0.8706,0.0,0.0,0.0,0,0.0,24,1,0,0.0,0.0,0,13.3594,16.5234,idle,
103208,READY,-1.0039,-0.9481,0.0,0.0,0.0,0,0.0,5,1,0,0.0,0.0,0,13.3594,16.5234,idle,
103308,READY,-1.0039,-0.9766,0.0,0.0,0.0,0,0.0,24,1,0,0.0,0.0,0,13.3594,16.5234,idle,
103408,READY,-1.0039,-0.9945,0.0,0.0,0.0,0,0.0,4,1,0,0.0,0.0,0,13.3594,16.5234,idle,
103508,READY,-0.9353,-0.9787,0.0,0.0,0.0,0,0.0,24,1,0,0.0,0.0,0,13.3594,16.5234,idle,
103608,READY,-0.9353,-0.9502,0.0,0.0,0.0,0,0.0,4,1,0,0.0,0.0,0,13.3594,16.5234,idle,
103708,READY,-0.9353,-0.9426,0.0,0.0,0.0,0,0.0,24,1,0,0.0,0.0,0,13.3594,16.5234,idle,
103808,READY,-0.9353,-0.9378,0.0,0.0,0.0,0,0.0,4,1,0,0.0,0.0,0,13.3594,16.5234,idle,
103908,READY,-0.9353,-0.9365,0.0,0.0,0.0,0,0.0,24,1,0,0.0,0.0,0,13.3594,16.5234,idle,
104008,READY,-0.9353,-0.9357,0.0,0.0,0.0,0,0.0,4,1,0,0.0,0.0,0,13.3594,16.5234,idle,
104108,READY,-0.9353,-0.9355,0.0,0.0,0.0,0,0.0,24,1,0,0.0,0.0,0,13.3594,16.5234,idle,
104208,READY,-0.9353,-0.9354,0.0,0.0,0.0,0,0.0,4,1,0,0.0,0.0,0,13.3594,16.5234,idle,
104308,READY,-0.9353,-0.9353,0.0,0.0,0.0,0,0.0,23,1,0,0.0,0.0,0,13.3594,16.5234,idle,
104408,RUNNING,-0.9326,-0.9326,-4.3875,1.4746,600.0,0,0.0,4,1,0,1.4746,1.4746,0,14.2383,16.5234,idle,
104508,FAULT,-0.9304,-0.9304,-5.85,1.4746,0.0,0,0.0,24,1,0,1.4746,1.4746,0,16.1719,16.5234,idle,
104608,FAULT,-0.9304,-0.9304,-5.85,1.4746,0.0,0,0.0,4,1,0,1.4746,1.4746,0,16.1719,16.5234,idle,
104708,FAULT,-0.9304,-0.9304,-5.85,1.4746,0.0,0,0.0,24,1,0,1.4746,1.4746,0,16.1719,16.5234,idle,
104808,FAULT,-0.9304,-0.9304,-5.85,1.4746,0.0,0,0.0,4,1,0,1.4746,1.4746,0,16.2598,16.5234,idle,
104908,FAULT,-0.9304,-0.9304,-5.85,1.4746,0.0,0,0.0,23,1,0,1.4746,1.4746,0,16.2598,16.5234,idle,
105008,FAULT,-1.2716,-1.0328,-5.85,1.4746,0.0,0,0.0,3,1,0,1.4746,1.4746,0,16.2598,16.5234,idle,
105108,FAULT,-1.2034,-1.1341,-5.85,1.4746,0.0,0,0.0,24,1,0,1.4746,1.4746,0,16.2598,16.5234,idle,
105208,FAULT,-1.2716,-1.2245,-5.85,1.4746,0.0,0,0.0,4,1,0,1.4746,1.4746,0,16.2598,16.5234,idle,
105308,FAULT,-1.2034,-1.2137,-5.85,1.4746,0.0,0,0.0,24,1,0,1.4746,1.4746,0,16.2598,16.5234,idle,
105408,FAULT,-1.2034,-1.2313,-5.85,1.4746,0.0,0,0.0,3,1,0,1.4746,1.4746,0,16.2598,16.5234,idle,
105508,FAULT,-0.9987,-1.1127,-5.85,1.4746,0.0,0,0.0,23,1,0,1.4746,1.4746,0,16.1719,16.5234,idle,
105608,FAULT,-1.2716,-1.1197,-5.85,1.4746,0.0,0,0.0,3,1,0,1.4746,1.4746,0,16.2598,16.5234,idle,
105708,FAULT,-1.2716,-1.1972,-5.85,1.4746,0.0,0,0.0,24,1,0,1.4746,1.4746,0,16.1719,16.5234,idle,
105808,FAULT,-1.2716,-1.2461,-5.85,1.4746,0.0,0,0.0,4,1,0,1.4746,1.4746,0,16.2598,16.5234,idle,
105908,FAULT,-1.2716,-1.2591,-5.85,1.4746,0.0,0,0.0,23,1,0,1.4746,1.4746,0,16.2598,16.5234,idle,
