BALL_BEAM_REF_BOOT
TEL,404,17.0757,17.4223,-5.4223,233.3227,0,0.000000
TEL,504,17.3210,16.9930,-4.9930,79.4524,-71,-0.139408
TEL,604,18.0975,17.6919,-5.6919,120.4109,-94,-0.184569
TEL,704,18.0975,17.8452,-5.8452,109.7030,-113,-0.221875
TEL,804,15.5243,16.4348,-4.4348,45.3581,-110,-0.215984
TEL,904,17.6369,17.3779,-5.3779,45.3581,-51,-0.100138
TEL,1004,17.3210,17.4074,-5.4074,121.3350,-92,-0.180642
TEL,1104,17.0154,17.3318,-5.3318,98.9738,-107,-0.210094
TEL,1204,16.8960,17.2344,-5.2344,95.4803,-95,-0.186532
TEL,1304,16.3771,16.9623,-4.9623,90.2761,-90,-0.176715
TEL,1404,16.1015,16.7109,-4.7109,85.8070,-86,-0.168861
TEL,1504,16.1559,16.4319,-4.4319,75.2495,-75,-0.147262
TEL,1604,15.8870,16.2398,-4.2398,77.5431,-78,-0.153153
TEL,1704,15.6779,16.0414,-4.0414,70.5455,-71,-0.139408
TEL,1804,15.7297,15.9347,-3.9347,71.5902,-72,-0.141372
TEL,1904,15.4737,15.7723,-3.7723,68.5799,-69,-0.135481
TEL,2004,15.3238,15.6643,-3.6643,67.2091,-67,-0.131554
TEL,2104,15.2745,15.5171,-3.5171,63.0979,-63,-0.123700
TEL,2204,15.4737,15.4803,-3.4803,63.6750,-64,-0.125664
TEL,2304,15.7297,15.5040,-3.5040,64.3339,-64,-0.125664
TEL,2404,11.6367,14.5047,-2.5047,66.4330,-66,-0.129591
TEL,2504,15.4235,14.8351,-2.8351,22.5201,-23,-0.045160
TEL,2604,15.7297,15.2359,-3.2359,62.4389,-62,-0.121737
TEL,2704,12.0040,14.6495,-2.6495,78.0932,-78,-0.153153
TEL,2804,15.2745,14.8277,-2.8277,32.1583,-32,-0.062832
TEL,2904,16.2107,15.5570,-3.5570,68.3375,-68,-0.133518
TEL,3004,16.5468,15.9897,-3.9897,79.8494,-80,-0.157080
TEL,3104,15.7818,15.2554,-3.2554,46.6496,-47,-0.092284
TEL,3204,16.7781,15.9573,-3.9573,66.6044,-67,-0.131554
TEL,3304,17.3833,16.8582,-4.8582,105.9534,-106,-0.208131
TEL,3404,15.1281,15.4570,-3.4570,105.8336,-106,-0.208131
TEL,3504,17.2591,16.5584,-4.5584,45.1351,-50,-0.098175
TEL,3604,17.5093,17.0509,-5.0509,105.4079,-91,-0.178678
TEL,3704,14.8430,15.7378,-3.7378,113.4037,-113,-0.221875
TEL,3804,16.7781,16.2984,-4.2984,35.2243,-48,-0.094248
TEL,3904,17.2591,16.9015,-4.9015,107.7288,-67,-0.131554
TEL,4004,17.5093,17.1194,-5.1194,100.9215,-101,-0.198313
TEL,4104,16.4899,16.4154,-4.4154,83.9647,-84,-0.164934
TEL,4204,16.6617,16.5297,-4.5297,77.3622,-77,-0.151189
TEL,4304,16.6617,16.5781,-4.5781,90.9528,-91,-0.178678
TEL,4404,15.0799,15.9462,-3.9462,87.7927,-88,-0.172788
TEL,4504,15.8870,15.8777,-3.8777,54.8872,-55,-0.107992
TEL,4604,16.1015,15.9313,-3.9313,76.6557,-77,-0.151189
TEL,4704,14.4781,15.3604,-3.3604,77.9585,-78,-0.153153
TEL,4804,15.5243,15.3414,-3.3414,51.5329,-52,-0.102102
TEL,4904,15.5752,15.4417,-3.4417,66.9400,-67,-0.131554
TEL,5004,11.9726,14.9588,-2.9588,69.2768,-69,-0.135481
TEL,5104,15.2254,14.9504,-2.9504,31.2175,-31,-0.060868
TEL,5204,15.3735,15.0946,-3.0946,68.0062,-68,-0.133518
