t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,test_phase
350,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,0,0.0,
450,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,0,0.0,
550,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,0,0.0,
650,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,0,0.0,
750,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,0,0.0,
850,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,0,0.0,
950,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,0,0.0,
1050,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,0,0.0,
1150,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,0,0.0,
1250,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,0,0.0,
1350,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
1451,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
1551,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
1651,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
1751,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
1851,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
1951,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
2051,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
2151,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
2251,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
2351,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
2451,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
2551,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
2651,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
2751,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
2851,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
2951,SAFE_DISABLED,0.0,0.0,-3.9204,0.0,0.0,1,0.0,
81787,RUNNING,5.7436,5.7416,-9.7998,-2.4974,200.0,0,0.0,
81887,RUNNING,6.018,5.8826,-7.6762,-2.6362,395.05,0,0.0,
81987,RUNNING,5.1948,5.4855,-3.4608,0.0465,356.68,0,0.0,
82087,RUNNING,5.0576,5.2817,-0.1308,-2.5605,-6.58,0,0.0,
82187,RUNNING,4.8518,5.0727,0.892,-0.5762,22.23,0,0.0,
82287,RUNNING,4.5088,4.7851,0.8116,-2.514,-117.33,0,0.0,
82387,RUNNING,4.4402,4.583,0.3794,-1.2244,-42.2,0,0.0,
82487,RUNNING,4.1658,4.3702,-0.3854,-2.4869,-91.07,0,0.0,
82587,RUNNING,4.5088,4.4512,-1.1465,-3.112,-109.54,0,0.0,
82688,RUNNING,4.8518,4.6123,-2.1464,-2.7254,-44.05,0,0.0,
82788,RUNNING,5.1262,4.8952,-3.081,-4.0,-74.47,0,0.0,
82888,RUNNING,5.1262,5.013,-3.6512,-2.9964,21.55,0,0.0,
82988,RUNNING,5.4692,5.2292,-3.7476,-4.0,-32.1,0,0.0,
83088,RUNNING,5.4692,5.3516,-3.9878,-3.2296,33.37,0,0.0,
83188,RUNNING,5.6064,5.5334,-4.2679,-4.0,9.41,0,0.0,
83288,RUNNING,5.6064,5.5418,-4.0634,-3.4404,40.38,0,0.0,
83388,RUNNING,5.6064,5.6131,-3.761,-3.4861,21.94,0,0.0,
83488,RUNNING,5.4692,5.5397,-3.4197,-3.607,-2.11,0,0.0,
83588,RUNNING,5.332,5.5012,-3.3367,-2.1477,79.04,0,0.0,
83688,RUNNING,5.2634,5.3944,-3.449,-3.7092,-6.17,0,0.0,
83788,RUNNING,5.0576,5.1731,-3.2265,-2.6658,50.64,0,0.0,
83888,RUNNING,5.1948,5.1842,-3.0558,-3.7924,-36.56,0,0.0,
83988,RUNNING,5.0576,5.1212,-3.2658,-3.2813,1.79,0,0.0,
84088,RUNNING,5.1948,5.1588,-3.5597,-3.919,-25.44,0,0.0,
84188,RUNNING,5.1948,5.1825,-3.8815,-4.0,-13.69,0,0.0,
84288,RUNNING,5.1262,5.1682,-4.1365,-4.0,3.15,0,0.0,
84388,RUNNING,5.1262,5.0815,-3.988,-4.0,1.07,0,0.0,
84488,RUNNING,5.1262,5.1043,-3.8509,-4.0,-8.62,0,0.0,
84588,RUNNING,4.989,5.1265,-3.8947,-2.8268,66.15,0,0.0,
84688,RUNNING,5.2634,5.1387,-3.73,-4.0,-14.9,0,0.0,
84788,RUNNING,5.675,5.432,-3.6723,-4.0,-22.71,0,0.0,
84888,RUNNING,5.675,5.5559,-3.8364,-4.0,-15.79,0,0.0,
84988,RUNNING,5.675,5.6342,-4.0294,-4.0,-4.63,0,0.0,
85088,RUNNING,5.675,5.655,-4.2081,-4.0,7.97,0,0.0,
85188,RUNNING,5.4006,5.5426,-4.2008,-3.0203,74.29,0,0.0,
85288,RUNNING,5.4006,5.4702,-3.8545,-4.0,-3.55,0,0.0,
85388,RUNNING,5.4006,5.4245,-3.8131,-4.0,-8.15,0,0.0,
85488,RUNNING,5.7436,5.5296,-3.8215,-4.0,-9.93,0,0.0,
85588,RUNNING,5.7436,5.6702,-3.8807,-4.0,-8.27,0,0.0,
85688,RUNNING,5.7436,5.7077,-3.9728,-4.0,-3.5,0,0.0,
85788,RUNNING,5.675,5.7107,-4.0614,-4.0,2.2,0,0.0,
85888,RUNNING,5.675,5.6925,-4.0826,-4.0,4.46,0,0.0,
85988,RUNNING,5.675,5.6666,-4.0925,-4.0,6.49,0,0.0,
86088,RUNNING,5.9494,5.7676,-4.0615,-4.0,5.68,0,0.0,
86188,RUNNING,6.018,5.9221,-4.0095,-4.0,2.84,0,0.0,
86288,RUNNING,5.9494,5.9504,-3.934,-4.0,-2.17,0,0.0,
86388,RUNNING,5.675,5.8098,-3.915,-3.331,40.7,0,0.0,
86488,RUNNING,5.1948,5.525,-3.6747,-4.0,-3.64,0,0.0,
86588,RUNNING,5.1948,5.3081,-3.0715,-3.3987,-4.6,0,0.0,
86688,RUNNING,5.0576,5.2092,-3.0215,-4.0,-53.55,0,0.0,
86788,RUNNING,5.5378,5.3401,-3.3476,-4.0,-42.65,0,0.0,
86888,RUNNING,5.5378,5.4409,-3.8018,-4.0,-19.94,0,0.0,
86988,RUNNING,5.9494,5.775,-4.1416,-4.0,0.76,0,0.0,
87088,RUNNING,6.018,5.8989,-4.2423,-4.0,9.56,0,0.0,
87188,RUNNING,6.0866,6.0223,-4.2144,-4.0,10.92,0,0.0,
87288,RUNNING,6.0866,6.0551,-4.1366,-4.0,8.45,0,0.0,
87388,RUNNING,6.0866,6.0758,-4.0285,-4.0,2.77,0,0.0,
87488,RUNNING,6.0866,6.0813,-3.9776,-4.0,-0.23,0,0.0,
87588,RUNNING,6.0866,6.0848,-3.8646,-4.0,-8.17,0,0.0,
87688,RUNNING,5.7436,5.9828,-3.8302,-4.0,-8.82,0,0.0,
