phase,x_ref_cm,duration_s,step_cm,steady_state_error_cm,overshoot_cm,settling_time_s,rise_time_s,rmse_cm,iae_cm_s,itae_cm_s2,peak_abs_output_steps,peak_abs_beam_deg
hold_center,13.0,29.903000000000002,,4.183109523809524,0.0,,0.09999999999999998,4.4057843702266375,129.2614138,1938.5290273255002,112.0,12.599972168501447
hold_far,17.0,29.9,4.0,0.2770142857142856,3.9847,,0.3000000000000007,1.0332572651410037,26.44976999999998,395.5552849999997,112.0,12.599972168501447
hold_near,9.0,35.2,8.0,9.213604761904762,0.0,,,8.39109060705673,293.71901,5210.383888000001,112.0,12.599972168501447
