phase,x_ref_cm,duration_s,step_cm,steady_state_error_cm,overshoot_cm,settling_time_s,rise_time_s,rmse_cm,iae_cm_s,itae_cm_s2,peak_abs_output_steps,peak_abs_beam_deg
hold_center,13.0,29.901,,1.6547952380952384,4.9826000000000015,,0.4,2.619886435013294,65.881626,904.035585566,176.8659,19.912517916197118
hold_far,17.0,29.900000000000002,4.0,0.6861238095238094,3.666499999999999,,0.40000000000000213,0.8769414145388125,21.390760000000014,343.3987410000002,137.1455,15.41250739323963
hold_near,9.0,35.2,8.0,2.873880952380952,0.7134999999999998,,1.1999999999999957,4.6706990944632505,135.14764999999997,2361.446298,224.0,25.200001632782406
