capture_index,point_direction,point_number,label,sample_index,captured_at_iso,mode,distance_cm,pulse_us,valid_sample,timer1_stress,pings,valid_count,timeout_count,miss_count
0,out,0,out_p00,0,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,27,27,0,0
0,out,0,out_p00,1,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,28,28,0,0
0,out,0,out_p00,2,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,29,29,0,0
0,out,0,out_p00,3,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,30,30,0,0
0,out,0,out_p00,4,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,31,31,0,0
0,out,0,out_p00,5,2026-03-13T15:21:18,PCINT,25.7200,1492.0000,1,1,32,32,0,0
0,out,0,out_p00,6,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,33,33,0,0
0,out,0,out_p00,7,2026-03-13T15:21:18,PCINT,26.2100,1520.0000,1,1,34,34,0,0
0,out,0,out_p00,8,2026-03-13T15:21:18,PCINT,25.7200,1492.0000,1,1,35,35,0,0
0,out,0,out_p00,9,2026-03-13T15:21:18,PCINT,0.0000,1516.0000,0,1,36,35,0,0
0,out,0,out_p00,10,2026-03-13T15:21:18,PCINT,26.1400,1516.0000,1,1,36,36,0,0
0,out,0,out_p00,11,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,37,37,0,0
0,out,0,out_p00,12,2026-03-13T15:21:18,PCINT,26.2100,1520.0000,1,1,38,38,0,0
0,out,0,out_p00,13,2026-03-13T15:21:18,PCINT,26.2100,1520.0000,1,1,39,39,0,0
0,out,0,out_p00,14,2026-03-13T15:21:18,PCINT,26.6900,1548.0000,1,1,40,40,0,0
0,out,0,out_p00,15,2026-03-13T15:21:18,PCINT,25.7200,1492.0000,1,1,41,41,0,0
0,out,0,out_p00,16,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,42,42,0,0
0,out,0,out_p00,17,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,43,43,0,0
0,out,0,out_p00,18,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,44,44,0,0
0,out,0,out_p00,19,2026-03-13T15:21:18,PCINT,0.0000,1520.0000,0,1,45,44,0,0
0,out,0,out_p00,20,2026-03-13T15:21:18,PCINT,26.2100,1520.0000,1,1,45,45,0,0
0,out,0,out_p00,21,2026-03-13T15:21:18,PCINT,26.2100,1520.0000,1,1,46,46,0,0
0,out,0,out_p00,22,2026-03-13T15:21:18,PCINT,26.2100,1520.0000,1,1,47,47,0,0
0,out,0,out_p00,23,2026-03-13T15:21:18,PCINT,25.7900,1496.0000,1,1,48,48,0,0
0,out,0,out_p00,24,2026-03-13T15:21:18,PCINT,25.8600,1500.0000,1,1,49,49,0,0
1,out,1,out_p01,0,2026-03-13T15:21:24,PCINT,25.7200,1492.0000,1,1,58,58,0,0
1,out,1,out_p01,1,2026-03-13T15:21:24,PCINT,25.7900,1496.0000,1,1,59,59,0,0
1,out,1,out_p01,2,2026-03-13T15:21:24,PCINT,0.0000,1492.0000,0,1,60,59,0,0
1,out,1,out_p01,3,2026-03-13T15:21:24,PCINT,25.7200,1492.0000,1,1,60,60,0,0
1,out,1,out_p01,4,2026-03-13T15:21:24,PCINT,25.7200,1492.0000,1,1,61,61,0,0
1,out,1,out_p01,5,2026-03-13T15:21:24,PCINT,0.0000,1496.0000,0,1,62,61,0,0
1,out,1,out_p01,6,2026-03-13T15:21:24,PCINT,25.7900,1496.0000,1,1,62,62,0,0
1,out,1,out_p01,7,2026-03-13T15:21:24,PCINT,26.2100,1520.0000,1,1,63,63,0,0
1,out,1,out_p01,8,2026-03-13T15:21:24,PCINT,25.7900,1496.0000,1,1,64,64,0,0
1,out,1,out_p01,9,2026-03-13T15:21:24,PCINT,26.2100,1520.0000,1,1,65,65,0,0
