t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,test_phase
350,SAFE_DISABLED,8.2603,8.2603,24.9078,0.0,0.0,0,0.0,
450,SAFE_DISABLED,8.2603,8.2603,24.9078,0.0,0.0,0,0.0,
550,SAFE_DISABLED,8.3289,8.2881,24.9078,0.0,0.0,0,0.0,
650,SAFE_DISABLED,8.3289,8.3089,24.9078,0.0,0.0,0,0.0,
750,SAFE_DISABLED,8.3289,8.322,24.9078,0.0,0.0,0,0.0,
850,SAFE_DISABLED,8.3289,8.3255,24.9078,0.0,0.0,0,0.0,
950,SAFE_DISABLED,8.3289,8.3277,24.9078,0.0,0.0,0,0.0,
1050,SAFE_DISABLED,8.2603,8.2933,24.9078,0.0,0.0,0,0.0,
1150,SAFE_DISABLED,8.2603,8.2716,24.9078,0.0,0.0,0,0.0,
1250,SAFE_DISABLED,8.2603,8.2802,24.9078,0.0,0.0,0,0.0,
1350,SAFE_DISABLED,8.3289,8.3122,24.9078,0.0,0.0,0,0.0,
1451,SAFE_DISABLED,8.3289,8.3207,24.9078,0.0,0.0,0,0.0,
1551,SAFE_DISABLED,8.3289,8.3016,24.9078,0.0,0.0,0,0.0,
1651,SAFE_DISABLED,8.2603,8.2805,24.9078,0.0,0.0,0,0.0,
1751,SAFE_DISABLED,8.2603,8.2672,24.9078,0.0,0.0,0,0.0,
1851,SAFE_DISABLED,8.3289,8.2987,24.9078,0.0,0.0,0,0.0,
1951,SAFE_DISABLED,8.3289,8.3185,24.9078,0.0,0.0,0,0.0,
2051,SAFE_DISABLED,8.3289,8.3238,24.9078,0.0,0.0,0,0.0,
2151,SAFE_DISABLED,8.3289,8.3271,24.9078,0.0,0.0,0,0.0,
2251,SAFE_DISABLED,8.3289,8.328,24.9078,0.0,0.0,0,0.0,
2351,SAFE_DISABLED,8.3289,8.3286,24.9078,0.0,0.0,0,0.0,
2451,SAFE_DISABLED,8.2603,8.3082,24.9078,0.0,0.0,0,0.0,
2551,SAFE_DISABLED,8.2603,8.2767,24.9078,0.0,0.0,0,0.0,
2651,SAFE_DISABLED,8.2603,8.2683,24.9078,0.0,0.0,0,0.0,
2751,SAFE_DISABLED,8.2603,8.263,24.9078,0.0,0.0,0,0.0,
2851,SAFE_DISABLED,8.2603,8.2616,24.9078,0.0,0.0,0,0.0,
2951,SAFE_DISABLED,8.2603,8.2607,24.9078,0.0,0.0,0,0.0,
3051,SAFE_DISABLED,8.2603,8.2605,24.9078,0.0,0.0,0,0.0,
3151,SAFE_DISABLED,8.3289,8.2953,24.9078,0.0,0.0,0,0.0,
