t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,x_linear_cm,x_linear_filt_cm,x_ctrl_cm,x_ctrl_filt_cm,x_feedback_cm,feedback_blend,pos_fresh,pos_held,pos_control_usable,control_hold_active,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,-38.9355,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,
450,SAFE_DISABLED,-5.4163,-5.5364,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.4163,-5.5364,-5.4163,-5.5364,-5.5364,0.4,1,0,1,0,
550,SAFE_DISABLED,-5.2448,-5.3448,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.2448,-5.3448,-5.2448,-5.3448,-5.3448,0.4,1,0,1,0,
650,SAFE_DISABLED,-5.2448,-5.3298,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.2448,-5.3298,-5.2448,-5.3298,-5.3298,0.4,1,0,1,0,
750,SAFE_DISABLED,-5.2448,-5.274,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.2448,-5.274,-5.2448,-5.274,-5.274,0.4,1,0,1,0,
850,SAFE_DISABLED,-5.2448,-5.2591,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.2448,-5.2591,-5.2448,-5.2591,-5.2591,0.4,1,0,1,0,
950,SAFE_DISABLED,-5.2448,-5.2497,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.2448,-5.2497,-5.2448,-5.2497,-5.2497,0.4,1,0,1,0,
1050,SAFE_DISABLED,-5.2448,-5.2472,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.2448,-5.2472,-5.2448,-5.2472,-5.2472,0.4,1,0,1,0,
1150,SAFE_DISABLED,-5.6564,-5.4411,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.6564,-5.4411,-5.6564,-5.4411,-5.4411,0.4,1,0,1,0,
1250,SAFE_DISABLED,-5.6564,-5.5509,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.6564,-5.5509,-5.6564,-5.5509,-5.5509,0.4,1,0,1,0,
1350,SAFE_DISABLED,-5.6564,-5.6047,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.6564,-5.6047,-5.6564,-5.6047,-5.6047,0.4,1,0,1,0,
1451,SAFE_DISABLED,-5.725,-5.6737,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.725,-5.6737,-5.725,-5.6737,-5.6737,0.4,1,0,1,0,
1551,SAFE_DISABLED,-5.6564,-5.6649,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.6564,-5.6649,-5.6564,-5.6649,-5.6649,0.4,1,0,1,0,
1651,SAFE_DISABLED,-5.6564,-5.6593,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.6564,-5.6593,-5.6564,-5.6593,-5.6593,0.4,1,0,1,0,
1751,SAFE_DISABLED,-6.068,-5.7957,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,-38.9355,0.0,idle,-6.068,-5.7957,-6.068,-5.7957,-5.7957,0.4,1,0,1,0,
1851,SAFE_DISABLED,-6.411,-6.0775,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-38.9355,0.0,idle,-6.411,-6.0775,-6.411,-6.0775,-6.0775,0.4,1,0,1,0,
1951,SAFE_DISABLED,-6.411,-6.2476,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-38.9355,0.0,idle,-6.411,-6.2476,-6.411,-6.2476,-6.2476,0.4,1,0,1,0,
2051,SAFE_DISABLED,-6.4796,-6.4,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.9355,0.0,idle,-6.4796,-6.4,-6.4796,-6.4,-6.4,0.4,1,0,1,0,
2151,SAFE_DISABLED,-6.411,-6.4056,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.8477,0.0,idle,-6.411,-6.4056,-6.411,-6.4056,-6.4056,0.4,1,0,1,0,
2251,SAFE_DISABLED,-5.725,-6.0809,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.725,-6.0809,-5.725,-6.0809,-6.0809,0.4,1,0,1,0,
2351,SAFE_DISABLED,-5.6564,-5.8644,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.6564,-5.8644,-5.6564,-5.8644,-5.8644,0.4,1,0,1,0,
2451,SAFE_DISABLED,-5.6564,-5.7277,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.6564,-5.7277,-5.6564,-5.7277,-5.7277,0.4,1,0,1,0,
2551,SAFE_DISABLED,-5.6564,-5.6914,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.6564,-5.6914,-5.6564,-5.6914,-5.6914,0.4,1,0,1,0,
2651,SAFE_DISABLED,-6.1366,-5.9234,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.8477,0.0,idle,-6.1366,-5.9234,-6.1366,-5.9234,-5.9234,0.4,1,0,1,0,
2751,SAFE_DISABLED,-6.5482,-6.2276,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.8477,0.0,idle,-6.5482,-6.2276,-6.5482,-6.2276,-6.2276,0.4,1,0,1,0,
2851,SAFE_DISABLED,-6.4796,-6.4177,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.8477,0.0,idle,-6.4796,-6.4177,-6.4796,-6.4177,-6.4177,0.4,1,0,1,0,
2951,SAFE_DISABLED,-6.1366,-6.2743,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.8477,0.0,idle,-6.1366,-6.2743,-6.1366,-6.2743,-6.2743,0.4,1,0,1,0,
3051,SAFE_DISABLED,-6.068,-6.1489,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,-38.8477,0.0,idle,-6.068,-6.1489,-6.068,-6.1489,-6.1489,0.4,1,0,1,0,
3151,SAFE_DISABLED,-5.2448,-5.7598,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.7598,-5.2448,-5.7598,-5.7598,0.4,1,0,1,0,
3251,SAFE_DISABLED,-5.2448,-5.4215,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.4215,-5.2448,-5.4215,-5.4215,0.4,1,0,1,0,
3351,SAFE_DISABLED,-5.2448,-5.3314,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.3314,-5.2448,-5.3314,-5.3314,0.4,1,0,1,0,
3451,SAFE_DISABLED,-5.2448,-5.2745,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.2745,-5.2448,-5.2745,-5.2745,0.4,1,0,1,0,
3551,SAFE_DISABLED,-5.2448,-5.2593,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.2593,-5.2448,-5.2593,-5.2593,0.4,1,0,1,0,
3651,SAFE_DISABLED,-5.2448,-5.2519,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.2519,-5.2448,-5.2519,-5.2519,0.4,1,0,1,0,
3751,SAFE_DISABLED,-5.2448,-5.2472,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-38.9355,0.0,idle,-5.2448,-5.2472,-5.2448,-5.2472,-5.2472,0.4,1,0,1,0,
3851,SAFE_DISABLED,-5.2448,-5.246,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.246,-5.2448,-5.246,-5.246,0.4,1,0,1,0,
3951,SAFE_DISABLED,-5.2448,-5.2452,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.2452,-5.2448,-5.2452,-5.2452,0.4,1,0,1,0,
4051,SAFE_DISABLED,-5.2448,-5.245,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.245,-5.2448,-5.245,-5.245,0.4,1,0,1,0,
4151,SAFE_DISABLED,-5.2448,-5.2449,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.2449,-5.2448,-5.2449,-5.2449,0.4,1,0,1,0,
4251,SAFE_DISABLED,-5.2448,-5.2448,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.2448,-5.2448,-5.2448,-5.2448,0.4,1,0,1,0,
4352,SAFE_DISABLED,-5.2448,-5.2448,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.2448,-5.2448,-5.2448,-5.2448,0.4,1,0,1,0,
4452,SAFE_DISABLED,-5.2448,-5.2448,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.2448,-5.2448,-5.2448,-5.2448,0.4,1,0,1,0,
4552,SAFE_DISABLED,-5.2448,-5.2448,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-38.8477,0.0,idle,-5.2448,-5.2448,-5.2448,-5.2448,-5.2448,0.4,1,0,1,0,
