capture_index,point_direction,point_number,label,captured_at_iso,samples_requested,samples_captured,valid_samples,valid_fraction,mean_distance_cm,median_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_pulse_us,std_pulse_us,min_pulse_us,max_pulse_us
0,out,0,out_p00,2026-03-13T15:43:59,25,25,25,1.0000,25.9064,25.9800,0.2835,25.5300,26.5200,0.0000,0.0000,0.0000,0.0000
1,out,1,out_p01,2026-03-13T15:44:04,25,25,25,1.0000,26.0696,26.0300,0.3084,25.5300,26.5200,0.0000,0.0000,0.0000,0.0000
2,out,2,out_p02,2026-03-13T15:44:07,25,25,21,0.8400,27.1405,27.6000,1.1538,23.9800,28.9500,0.0000,0.0000,0.0000,0.0000
3,out,3,out_p03,2026-03-13T15:44:12,25,25,24,0.9600,25.3508,27.3350,4.7877,14.1600,30.2200,0.0000,0.0000,0.0000,0.0000
4,out,4,out_p04,2026-03-13T15:44:15,25,25,8,0.3200,22.0888,20.5150,4.8340,16.6700,29.9100,0.0000,0.0000,0.0000,0.0000
5,out,5,out_p05,2026-03-13T15:44:18,25,25,0,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000
6,out,6,out_p06,2026-03-13T15:44:23,25,25,18,0.7200,14.4817,14.1900,2.8609,10.7200,18.6400,0.0000,0.0000,0.0000,0.0000
7,out,7,out_p07,2026-03-13T15:44:30,25,25,25,1.0000,14.8036,14.2200,2.6138,12.0700,26.9500,0.0000,0.0000,0.0000,0.0000
8,out,8,out_p08,2026-03-13T15:44:33,25,25,25,1.0000,12.5728,12.7600,0.5566,10.2900,13.2800,0.0000,0.0000,0.0000,0.0000
9,out,9,out_p09,2026-03-13T15:44:41,25,25,25,1.0000,11.6588,10.6000,4.0909,8.6200,29.9700,0.0000,0.0000,0.0000,0.0000
10,ret,9,ret_p09,2026-03-13T15:44:48,25,25,25,1.0000,8.9380,8.2600,1.4652,7.6900,13.3300,0.0000,0.0000,0.0000,0.0000
11,ret,8,ret_p08,2026-03-13T15:44:51,25,25,20,0.8000,7.1655,7.2800,0.5309,6.0900,8.5700,0.0000,0.0000,0.0000,0.0000
12,ret,7,ret_p07,2026-03-13T15:44:57,25,25,23,0.9200,5.6530,5.2400,1.5836,3.8300,8.6400,0.0000,0.0000,0.0000,0.0000
13,ret,6,ret_p06,2026-03-13T15:45:00,25,25,13,0.5200,7.8292,7.6900,2.8495,4.8600,15.8100,0.0000,0.0000,0.0000,0.0000
14,ret,5,ret_p05,2026-03-13T15:45:05,25,25,21,0.8400,9.6886,9.6200,1.8404,7.6400,14.9500,0.0000,0.0000,0.0000,0.0000
15,ret,4,ret_p04,2026-03-13T15:45:08,25,25,15,0.6000,12.5307,13.1200,1.8639,8.1700,14.8300,0.0000,0.0000,0.0000,0.0000
16,ret,3,ret_p03,2026-03-13T15:45:13,25,25,23,0.9200,12.6157,12.0700,1.5224,10.2900,17.5000,0.0000,0.0000,0.0000,0.0000
17,ret,2,ret_p02,2026-03-13T15:45:17,25,25,25,1.0000,15.0612,15.4500,2.4349,9.5200,19.9500,0.0000,0.0000,0.0000,0.0000
18,ret,1,ret_p01,2026-03-13T15:45:20,25,25,25,1.0000,14.4992,15.4700,2.3150,8.5200,15.9000,0.0000,0.0000,0.0000,0.0000
