t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,2.1094,11.8652,idle,
450,SAFE_DISABLED,0.3199,0.4639,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
550,SAFE_DISABLED,0.1141,0.2341,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,2.1094,11.8652,idle,
650,SAFE_DISABLED,0.1141,0.1729,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
750,SAFE_DISABLED,0.1141,0.1342,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,2.1094,11.8652,idle,
850,SAFE_DISABLED,0.1141,0.2104,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,2.1094,11.8652,idle,
950,SAFE_DISABLED,0.5257,0.357,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,2.1094,11.8652,idle,
1050,SAFE_DISABLED,0.5257,0.443,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,2.1094,11.8652,idle,
1150,SAFE_DISABLED,0.1827,0.2619,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,2.1094,11.8652,idle,
1250,SAFE_DISABLED,0.1827,0.2215,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,2.1094,11.8652,idle,
1350,SAFE_DISABLED,0.1827,0.3184,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,2.1094,11.8652,idle,
1451,SAFE_DISABLED,0.1141,0.2286,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
1551,SAFE_DISABLED,0.1141,0.1778,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,2.1094,11.8652,idle,
1651,SAFE_DISABLED,0.1141,0.1453,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
1751,SAFE_DISABLED,0.1141,0.1248,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,2.1094,11.8652,idle,
1851,SAFE_DISABLED,0.1141,0.1193,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
1951,SAFE_DISABLED,0.1141,0.1159,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,2.1094,11.8652,idle,
2051,SAFE_DISABLED,0.1141,0.1149,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
2151,SAFE_DISABLED,0.1827,0.1349,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,2.1094,11.8652,idle,
2251,SAFE_DISABLED,0.1827,0.1593,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
2351,SAFE_DISABLED,0.1827,0.1746,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,2.1094,11.8652,idle,
2451,SAFE_DISABLED,0.5257,0.2816,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
2551,SAFE_DISABLED,0.5257,0.442,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,2.1094,11.8652,idle,
2651,SAFE_DISABLED,0.5257,0.4846,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
2751,SAFE_DISABLED,0.5257,0.5116,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,2.1094,11.8652,idle,
2851,SAFE_DISABLED,0.5257,0.5188,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
2951,SAFE_DISABLED,0.5257,0.5233,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,2.1094,11.8652,idle,
3051,SAFE_DISABLED,0.5257,0.5245,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,2.1094,11.8652,idle,
3151,SAFE_DISABLED,0.5257,0.5253,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,2.1094,11.8652,idle,
3251,SAFE_DISABLED,0.5257,0.5255,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,2.1094,11.8652,idle,
3351,SAFE_DISABLED,0.5257,0.5256,0.0,0.0,0.0,0,0.0,11,1,0,0.0,0.0,0,2.1094,11.8652,idle,
14268,SAFE_DISABLED,0.1827,0.1598,0.0,0.0,0.0,0,0.0,10,1,0,0.0,0.0,0,2.1094,11.8652,idle,
14368,SAFE_DISABLED,0.1827,0.1714,0.0,0.0,0.0,0,0.0,30,1,0,0.0,0.0,0,2.1094,11.8652,idle,
14468,SAFE_DISABLED,0.1827,0.1788,0.0,0.0,0.0,0,0.0,4,1,0,0.0,0.0,0,2.1094,11.8652,idle,
14568,SAFE_DISABLED,0.1141,0.1458,0.0,0.0,0.0,0,0.0,25,1,0,0.0,0.0,0,2.1094,11.8652,idle,
14668,SAFE_DISABLED,0.1141,0.1249,0.0,0.0,0.0,0,0.0,5,1,0,0.0,0.0,0,2.1094,11.8652,idle,
14768,SAFE_DISABLED,0.1141,0.1194,0.0,0.0,0.0,0,0.0,24,1,0,0.0,0.0,0,2.1094,11.8652,idle,
