BALL_BEAM_REF_BOOT
AS5600_BOOT,ok=1,status_ok=1,md=1,mh=0,ml=0,agc=190,mag=2085
HOST_START_READY
AS5600_ZERO,raw_deg=325.0195
REF_CFG,profile=center_far_near_90s,center_cm=13.0000,near_cm=9.0000,far_cm=17.0000,segment_ms=30000
REF,2302,13.0000,hold_center
TEL,2306,17.5729,16.7424,-3.2495,0.0000,0,0.000000,7.9319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
TEL,2406,17.8974,17.3939,-4.3939,56.0000,25,-0.049087,7.7000,0.0000,0.0000,3.9905,6.3000,2.3095,540.0001,1
TEL,2506,18.0304,17.7008,-4.7008,88.8889,45,-0.088357,6.4872,0.0000,0.0000,6.9486,10.0000,3.0514,180.0001,1
TEL,2606,18.1652,17.9540,-4.9540,88.8889,30,-0.058905,5.0650,0.0000,0.0000,6.7785,10.0000,3.2215,-420.0000,1
TEL,2706,18.0975,18.0150,-5.0150,88.8889,-31,0.060868,3.7492,0.0000,0.0000,2.1049,10.0000,7.8951,-917.6822,1
TEL,2806,18.1652,18.0546,-5.0546,88.8889,-118,0.231692,2.7951,0.0000,0.0000,-7.7713,10.0000,17.7713,-1000.0000,1
TEL,2906,18.0975,18.0713,-5.0713,88.8889,-205,0.402517,2.0204,0.0000,0.0000,-17.6810,10.0000,27.6810,-1000.0000,1
TEL,3006,18.0975,18.0899,-5.0899,88.8889,-293,0.575304,1.4487,0.0000,0.0000,-27.4979,10.0000,37.4979,-1000.0000,1
TEL,3106,17.8316,18.0474,-5.0474,88.8889,-381,0.748092,0.8875,0.0000,2.0190,-37.0508,10.0000,47.0508,-1000.0000,1
TEL,3206,12.1958,17.4881,-4.4881,88.8889,-469,0.920879,-3.1102,0.0000,2.0023,-46.9202,10.0000,56.9202,-1000.0000,1
TEL,3306,15.7297,16.3567,-3.3567,58.1909,-559,1.097594,-5.0386,0.0000,1.9857,-55.5561,6.5465,62.1026,-1000.0000,1
TEL,3406,15.5752,15.9663,-2.9663,50.8509,-649,1.274308,-4.5957,0.0000,1.9693,-66.1927,5.7207,71.9134,-1000.0000,1
TEL,3506,14.3455,15.4437,-2.4437,30.7613,-737,1.447096,-5.8699,0.0000,1.9531,-75.0491,3.4606,78.5097,-1000.0000,1
TEL,3606,9.7869,12.1380,0.8620,-9.2387,-827,1.623811,-18.1838,0.0000,1.5624,-85.6532,-1.0394,84.6139,-1000.0000,1
TEL,3706,11.6367,11.6286,1.3714,-49.2387,-917,1.800525,-12.9392,0.0000,1.2500,-95.5525,-5.5394,90.0131,-1000.0000,1
TEL,3806,10.1438,11.0281,1.9719,-53.3333,-1004,1.971349,-11.5588,0.0000,1.0000,-105.5060,-6.0000,99.5060,-1000.0000,1
TEL,3906,9.0446,10.0623,2.9377,-88.8889,-1093,2.146100,-12.0326,0.0000,0.8000,-114.8767,-10.0000,104.8767,-1000.0000,1
TEL,4006,8.8797,8.8698,4.1302,-88.8889,-1181,2.318888,-8.5452,0.0000,0.6400,-116.6611,-10.0000,106.6611,-1000.0000,1
TEL,4106,15.7297,11.8272,1.1728,-48.8889,-1270,2.493639,10.6356,0.0000,0.5120,-115.5163,-5.5000,110.0163,-1000.0000,1
TEL,4206,22.7686,11.8272,0.0000,0.0000,-1333,2.617339,58.5875,0.0000,0.5120,-115.4746,-115.7452,-0.2706,-466.0000,1
TEL,4306,20.1034,11.8272,0.0000,0.0000,-1363,2.676244,58.5875,0.0000,0.5120,-117.3862,-115.7452,1.6410,-418.3796,1
TEL,4406,15.7297,15.1187,-2.6356,0.0000,-1370,2.689989,15.8684,0.0000,0.5120,-114.2666,-116.1313,-1.8647,175.6204,1
TEL,4506,19.0888,18.0145,-2.1187,56.0000,-1375,2.699806,17.4538,0.0000,0.5078,-114.0051,6.3000,120.3051,-304.3796,1
TEL,4606,18.9411,18.8788,-5.8788,56.0000,-1417,2.782273,0.7448,0.0000,96.0000,-116.5684,6.3000,122.8684,-424.3796,1
TEL,4706,20.1856,18.8788,0.0000,0.0000,-1454,2.854922,0.7448,0.0000,96.0000,-115.3220,-117.1363,-1.8143,-190.3796,1
TEL,4806,17.3833,18.3681,-5.3681,56.0000,-1441,2.829397,-2.5534,0.0000,0.0003,-115.4398,6.3000,121.7398,289.6204,1
TEL,4907,19.2387,18.6791,-5.6791,88.8889,-1446,2.839214,-0.1709,0.0000,2.2719,-114.7575,10.0000,124.7575,-310.3796,1
TEL,5007,20.0219,18.6791,0.0000,0.0000,-1470,2.886338,5.7854,0.0000,2.2719,-116.2400,-114.8449,1.3951,-362.5820,1
TEL,5107,13.5161,17.1823,-4.1823,0.0000,-1508,2.960951,-7.4838,0.0000,2.2719,-114.7935,-115.3114,-0.5179,-265.3087,1
TEL,5207,19.0147,18.2385,-4.6297,56.0000,-1509,2.962914,-9.3581,0.0000,2.2531,-114.9878,6.3000,121.2878,-37.3086,1
TEL,5307,19.6230,16.2408,0.0000,0.0000,-1536,3.015929,-49.9441,0.0000,2.2531,-116.4319,-115.4331,0.9989,-284.1390,1
TEL,5407,20.1034,18.4834,0.0000,0.0000,-1587,3.116067,21.6831,0.0000,0.0000,-115.4487,-115.3590,0.0896,-734.4130,1
TEL,5507,20.1034,18.4834,0.0000,0.0000,-1628,3.196570,21.6831,0.0000,0.0000,-115.1382,-115.3590,-0.2209,-329.3105,1
TEL,5607,19.2387,18.8308,-5.6031,0.0000,-1634,3.208351,0.5984,0.0000,0.0000,-114.6903,-114.6559,0.0344,0.0000,1
TEL,5707,19.8605,18.8308,0.0000,0.0000,-1634,3.208351,5.6933,0.0000,0.0000,-114.6971,-114.6949,0.0022,0.0000,1
TEL,5807,15.8870,17.8867,-4.8867,0.0000,-1634,3.208351,-4.7208,0.0000,0.0000,-114.6973,-114.6973,0.0000,0.0000,1
TEL,5907,17.1364,16.7097,-3.7097,56.0000,-1635,3.210315,0.6215,0.0000,1.4839,-114.6973,6.3000,120.9973,-66.0000,1
TEL,6007,16.5468,16.2018,-3.2018,88.8889,-1669,3.277074,3.7540,0.0000,1.4716,-116.4680,10.0000,126.4680,-666.0001,1
TEL,6107,20.0219,17.3264,0.0000,0.0000,-1744,3.424336,28.1152,0.0000,1.4716,-116.8688,-115.5278,1.3410,-814.0000,1
TEL,6207,15.2745,16.2962,-3.2962,46.9916,-1787,3.508766,-6.4388,0.0000,0.0000,-116.0345,5.2866,121.3211,-346.0000,1
TEL,6307,17.8316,16.7717,-3.7717,88.8889,-1845,3.622649,-0.3064,0.0000,1.5087,-115.4728,10.0000,125.4728,-946.0000,1
TEL,6407,18.7955,18.0423,-4.6239,88.8889,-1931,3.791509,-1.3682,0.0000,1.4962,-116.2278,10.0000,126.2278,-1000.0000,1
