t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,x_linear_cm,x_linear_filt_cm,x_ctrl_cm,x_ctrl_filt_cm,x_feedback_cm,feedback_blend,pos_fresh,pos_held,pos_control_usable,control_hold_active,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,-0.109,27.0492,idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,
450,SAFE_DISABLED,-12.7234,-12.7234,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7234,-12.7234,-12.7234,-12.7234,0.4,0,0,0,0,
550,SAFE_DISABLED,-12.7234,-12.7234,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7234,-12.7234,-12.7234,-12.7234,0.4,0,0,0,0,
650,SAFE_DISABLED,-13.0664,-12.8623,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-0.109,27.0492,idle,-13.0664,-12.8623,-13.0664,-12.8623,-12.8623,0.4,0,0,0,0,
750,SAFE_DISABLED,-12.7234,-12.8275,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.8275,-12.7234,-12.8275,-12.8275,0.4,0,0,0,0,
850,SAFE_DISABLED,-13.0664,-12.862,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,-0.109,27.0492,idle,-13.0664,-12.862,-13.0664,-12.862,-12.862,0.4,0,0,0,0,
950,SAFE_DISABLED,-12.7234,-12.7913,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7913,-12.7234,-12.7913,-12.7913,0.4,0,0,0,0,
1050,SAFE_DISABLED,-12.7234,-12.7467,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7467,-12.7234,-12.7467,-12.7467,0.4,0,0,0,0,
1150,SAFE_DISABLED,-12.7234,-12.7348,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7348,-12.7234,-12.7348,-12.7348,0.4,0,0,0,0,
1250,SAFE_DISABLED,-12.7234,-12.729,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.729,-12.7234,-12.729,-12.729,0.4,0,0,0,0,
1350,SAFE_DISABLED,-12.7234,-12.7262,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7262,-12.7234,-12.7262,-12.7262,0.4,0,0,0,0,
1451,SAFE_DISABLED,-12.7234,-12.7244,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7244,-12.7234,-12.7244,-12.7244,0.4,0,0,0,0,
1551,SAFE_DISABLED,-12.7234,-12.7239,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7239,-12.7234,-12.7239,-12.7239,0.4,0,0,0,0,
1651,SAFE_DISABLED,-12.7234,-12.7236,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7236,-12.7234,-12.7236,-12.7236,0.4,0,0,0,0,
1751,SAFE_DISABLED,-12.7234,-12.7235,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7235,-12.7234,-12.7235,-12.7235,0.4,0,0,0,0,
1851,SAFE_DISABLED,-12.7234,-12.7235,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7235,-12.7234,-12.7235,-12.7235,0.4,0,0,0,0,
1951,SAFE_DISABLED,-12.7234,-12.7234,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.7234,-12.7234,-12.7234,-12.7234,0.4,0,0,0,0,
2051,SAFE_DISABLED,-12.6548,-12.7028,0.0,0.0,0.0,0,0.0,31,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.6548,-12.7028,-12.6548,-12.7028,-12.7028,0.4,0,0,0,0,
2151,SAFE_DISABLED,-12.7234,-12.6989,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-0.109,27.0492,idle,-12.7234,-12.6989,-12.7234,-12.6989,-12.6989,0.4,0,0,0,0,
