phase,x_ref_cm,duration_s,step_cm,steady_state_error_cm,overshoot_cm,settling_time_s,rise_time_s,rmse_cm,iae_cm_s,itae_cm_s2,peak_abs_output_steps,peak_abs_beam_deg
hold_center,13.0,29.900000000000002,,-1.5978190476190473,3.8774000000000015,,9.799999999999999,2.9896204994893028,78.48481,1068.660037,207.2588,23.287525808415232
hold_far,17.0,29.9,4.0,-1.3867333333333334,1.0207000000000015,,0.0,2.3550696822741077,55.64267,709.014183,224.0,23.962527386858856
hold_near,9.0,35.2,8.0,-0.7876142857142858,0.9160000000000004,,1.1999999999999957,1.812362014690944,41.23584000000001,525.7398210000001,224.0,25.200001632782406
