phase,x_ref_cm,duration_s,step_cm,steady_state_error_cm,overshoot_cm,settling_time_s,rise_time_s,rmse_cm,iae_cm_s,itae_cm_s2,peak_abs_output_steps,peak_abs_beam_deg
hold_center,13.0,29.903000000000002,,-2.9066714285714284,1.0615000000000006,,0.5,2.9020752010816904,77.46224409999999,1254.2882996144003,160.0,17.774984269902557
hold_far,17.0,29.9,4.0,-3.405299999999999,0.7738000000000014,,1.1999999999999993,3.797907460128538,98.49025,1340.44726,160.0,17.99998479605043
hold_near,9.0,35.2,8.0,-0.8371904761904764,0.8911999999999995,,0.5,1.2189142124716732,31.830450000000006,481.99786700000004,184.949,20.24999005752917
