BALL_BEAM_REF_BOOT
HOST_START_READY
REF_CFG,profile=center_far_near_90s,center_cm=13.0000,near_cm=9.0000,far_cm=17.0000,segment_ms=30000
REF,1815,13.0000,hold_center
TEL,1817,7.8077,8.2560,4.7440,0.0000,0,0.000000,-0.1709,0.0000,0.0000
TEL,1917,8.1474,8.2375,4.7440,0.0000,0,0.000000,-0.1709,0.0000,0.0000
TEL,2017,6.8292,8.2354,4.7625,-72.0000,62,0.121737,-0.1588,0.0000,-2.0193
TEL,2117,8.2879,8.2406,4.7619,-138.0896,112,0.219911,-0.0962,0.0000,-4.3241
TEL,2217,7.7653,8.2176,4.7824,-141.8906,125,0.245437,-0.1332,0.0000,-7.3848
TEL,2317,8.0713,8.1923,4.8077,-144.6045,145,0.284707,-0.1515,0.0000,-9.3078
TEL,2417,8.2721,8.1978,4.8022,-146.0370,146,0.286670,-0.0769,0.0000,-11.2287
TEL,2518,8.3198,8.2082,4.7918,-147.3605,147,0.288634,-0.0097,0.0000,-13.1455
TEL,2618,6.2102,8.2150,4.7918,-147.3605,147,0.288634,-0.0097,0.0000,-13.1455
TEL,2718,8.0113,8.1750,4.8138,-151.0445,151,0.296488,-0.0925,0.0000,-15.8412
TEL,2818,8.2563,8.1740,4.8308,-153.5191,154,0.302378,-0.1073,0.0000,-17.7735
TEL,2918,8.3038,8.1861,4.8211,-154.8815,155,0.304342,-0.0420,0.0000,-19.7020
TEL,3018,6.4708,8.2012,4.8070,-156.1376,156,0.306305,0.0187,0.0000,-21.6248
TEL,3118,7.6956,8.1717,4.8283,-159.8632,160,0.314159,-0.0762,0.0000,-24.3286
TEL,3218,8.1321,8.1503,4.8483,-162.4951,162,0.318086,-0.1053,0.0000,-26.2680
TEL,3318,8.2879,8.1634,4.8366,-163.6983,164,0.322013,-0.0159,0.0000,-28.2026
TEL,3418,8.3679,8.1922,4.8196,-164.8640,165,0.323977,0.0475,0.0000,-30.1304
TEL,3518,6.2102,8.1922,4.8196,-164.8640,165,0.323977,0.0475,0.0000,-30.1304
TEL,3618,8.2563,8.1665,4.8334,-168.3780,168,0.329867,-0.0459,0.0000,-32.8371
TEL,3718,8.5323,8.2083,4.8335,-170.0391,170,0.333794,0.0151,0.0000,-34.7705
TEL,3818,8.9706,8.3197,4.7917,-170.0091,170,0.333794,0.1878,0.0000,-36.6871
TEL,3918,7.3007,8.4015,4.6803,-166.9106,167,0.327904,0.5996,0.0000,-38.5593
TEL,4018,9.2347,8.5280,4.6278,-168.5319,169,0.331831,0.3238,0.0000,-40.4104
TEL,4118,9.7869,8.8909,4.4720,-162.9320,163,0.320050,0.9962,0.0000,-42.1992
TEL,4218,10.5503,9.6859,4.1091,-146.9866,147,0.288634,2.2040,0.0000,-41.8504
TEL,4318,11.2060,10.4271,3.3141,-116.4815,116,0.227765,3.9597,0.0000,-41.5046
TEL,4418,11.1783,10.1501,3.3141,-145.0548,145,0.284707,-2.4662,0.0000,-41.1616
TEL,4518,12.2610,11.3989,2.8499,-114.4017,114,0.223838,1.3818,0.0000,-40.8214
TEL,4618,13.5555,12.5258,1.7252,-74.4017,74,0.145299,0.0916,-0.1394,-41.5184
TEL,4718,14.2152,13.5481,0.4742,-34.4017,34,0.066759,4.6587,-0.1360,-41.1752
TEL,4818,13.1713,12.8214,-0.9997,-0.4017,0,0.000000,6.5531,-0.1020,-32.9402
TEL,4918,14.7502,13.9477,0.1786,17.3635,-17,-0.033379,7.6209,-0.0995,-32.6680
TEL,5018,15.9936,15.4689,-1.6166,51.3635,-51,-0.100138,10.2213,-0.0746,-26.1344
TEL,5118,16.6617,16.1016,-2.4689,94.8461,-95,-0.186532,9.8341,-0.0560,-20.9075
TEL,5218,13.8781,14.4676,-3.2496,108.9165,-109,-0.214021,8.0810,-0.0420,-16.7260
TEL,5318,16.1559,15.7439,-1.4676,74.9165,-75,-0.147262,1.9347,-0.0315,-13.3808
TEL,5419,16.6617,16.4004,-3.0380,84.3774,-84,-0.164934,3.4827,-0.0236,-10.7046
TEL,5519,16.5468,16.5027,-3.4004,94.9444,-95,-0.186532,3.3663,-0.0177,-8.5637
TEL,5619,16.4333,16.4242,-3.3903,86.7034,-87,-0.170824,1.6017,-0.0133,-6.8510
TEL,5719,13.5950,14.7002,-3.4242,86.4854,-86,-0.168861,1.1583,-0.0100,-5.4808
TEL,5819,14.5228,14.7994,-2.0117,62.6927,-63,-0.123700,3.0529,-0.0075,-4.3846
TEL,5919,14.3455,14.6297,-1.7994,37.9150,-38,-0.074613,1.3547,-0.0056,-3.5077
TEL,6019,13.2465,13.9325,-1.3230,9.8953,-10,-0.019635,-1.2231,-0.0042,-2.8062
TEL,6119,10.6001,12.4367,-0.9325,-6.9548,7,0.013744,-2.5699,-0.0032,-2.2449
TEL,6219,10.9881,11.5392,0.7315,-36.6557,37,0.072649,-3.0370,-0.0031,-2.2264
TEL,6319,10.2603,10.9161,1.4608,-59.1373,59,0.115846,-4.3759,-0.0030,-2.2080
TEL,6419,6.7524,9.9373,2.8000,-117.6745,114,0.223838,-8.2405,-0.0029,-2.1897
TEL,6519,6.7851,9.5734,3.4266,-129.8397,129,0.253291,-7.0498,-0.0028,-2.1682
TEL,6619,7.8505,8.6297,3.9110,-142.1078,139,0.272926,-6.7657,-0.0028,-2.1503
TEL,6719,8.5323,8.5932,4.3703,-153.6324,153,0.300415,-6.4730,-0.0027,-2.1325
TEL,6819,9.4122,8.8579,4.4975,-151.7672,152,0.298451,-5.2711,-0.0026,-2.1149
TEL,6919,10.0297,9.2895,4.1421,-129.0982,129,0.253291,-2.4490,-0.0026,-2.0974
TEL,7019,9.3524,9.6304,3.4484,-99.4781,99,0.194386,0.1233,-0.0025,-3.4768
TEL,7119,11.3179,10.2393,3.1477,-84.0568,84,0.164934,1.6733,-0.0025,-3.4480
TEL,7219,12.7714,11.9879,2.1156,-36.5483,43,0.084430,5.8025,-0.0024,-3.4195
TEL,7319,13.7554,13.0161,0.4776,3.4517,1,0.001963,7.9628,-0.0023,-3.3913
TEL,7419,9.9847,12.3889,-0.3066,37.4517,-36,-0.070686,7.7628,-0.0017,-2.7130
TEL,7519,13.5161,12.3544,2.0783,-34.5483,12,0.023562,-4.9352,-0.0017,-2.6906
TEL,7619,15.5243,14.7152,1.9707,-74.5483,74,0.145299,-12.9903,-0.0017,-2.6684
TEL,7719,16.2658,15.4397,-1.7152,-40.5483,42,0.082467,0.5672,-0.0012,-2.1347
TEL,7819,17.2591,15.7266,-2.6404,15.4517,-4,-0.007854,1.8035,-0.0009,-1.7078
TEL,7919,14.3018,13.8153,-2.7266,71.4517,-65,-0.127627,14.9037,-0.0007,-1.3662
TEL,8019,17.1364,16.5968,-2.0496,127.4517,-114,-0.223838,19.4621,-0.0005,-1.0930
TEL,8119,17.7014,17.2313,-3.5968,183.4517,-177,-0.347539,17.8783,-0.0004,-0.8744
TEL,8219,17.9637,17.6717,-4.4153,187.1479,-187,-0.367174,14.0847,-0.0003,-0.6995
TEL,8320,11.0689,16.3316,-4.6717,175.8871,-176,-0.345575,10.8463,-0.0002,-0.5596
TEL,8420,16.1015,15.8058,-2.3772,119.8871,-130,-0.255254,0.9302,-0.0002,-0.4477
TEL,8520,16.6040,16.2134,-2.8058,80.5322,-81,-0.159043,1.9539,-0.0001,-0.3581
TEL,8620,15.9936,16.1846,-3.2751,91.6908,-92,-0.180642,1.8362,-0.0001,-0.2865
TEL,8720,15.3735,15.9641,-3.1846,84.6626,-85,-0.166897,0.9595,-0.0001,-0.2292
TEL,8820,12.8424,13.2778,-1.7935,50.6626,-51,-0.100138,-7.6762,-0.0001,-0.1834
TEL,8920,12.7714,13.0098,-0.2778,16.6626,-17,-0.033379,-8.5443,-0.0000,-0.1467
TEL,9020,11.6665,12.3857,0.1437,-23.3374,21,0.041233,-7.1991,-0.0000,-0.1455
TEL,9120,10.8038,11.6679,0.6143,-60.3653,58,0.113883,-7.0235,-0.0000,-0.1443
TEL,9220,9.4323,10.2149,1.7884,-90.2691,90,0.176715,-8.2763,-0.0000,-0.1431
TEL,9320,8.6168,9.3190,2.7851,-120.2526,120,0.235619,-9.3620,-0.0000,-0.1419
TEL,9420,8.2879,8.5112,4.0901,-157.9055,157,0.308269,-9.6093,-0.0000,-0.1407
TEL,9520,8.8617,8.6104,4.4888,-160.3656,160,0.314159,-7.6755,-0.0000,-0.1396
TEL,9620,9.8085,9.1111,4.2628,-140.0957,140,0.274889,-4.5772,-0.0000,-0.1384
TEL,9720,10.9881,9.9467,3.8889,-117.0677,117,0.229729,-1.7871,-0.0000,-0.1373
TEL,9820,12.3269,11.5511,2.5163,-59.0780,70,0.137445,2.5590,-0.0000,-0.1361
TEL,9920,13.1713,12.4642,1.4489,-19.0780,20,0.039270,5.4815,-0.0000,-0.1350
TEL,10020,14.3455,13.6821,0.0929,20.9220,-19,-0.037306,7.0791,-0.0000,-0.1339
TEL,10120,15.0320,14.3633,-0.6821,54.9220,-55,-0.107992,7.7697,-0.0000,-0.1071
TEL,10220,16.1015,15.3995,-1.7421,88.9220,-89,-0.174751,8.2558,-0.0000,-0.0857
TEL,10320,16.6040,16.0053,-2.3995,106.1387,-106,-0.208131,8.4034,-0.0000,-0.0686
TEL,10420,17.0757,16.6902,-3.2931,126.5952,-127,-0.249364,8.0585,-0.0000,-0.0548
TEL,10520,17.2591,16.9712,-3.6902,130.4331,-130,-0.255254,6.9495,-0.0000,-0.0439
TEL,10620,17.2591,17.1447,-4.0412,131.0417,-131,-0.257218,5.4633,-0.0000,-0.0351
TEL,10720,17.3210,17.1899,-4.1447,126.1961,-126,-0.247400,4.1104,-0.0000,-0.0281
TEL,10820,16.7781,17.0730,-4.1732,119.7997,-120,-0.235619,2.8168,-0.0000,-0.0225
TEL,10920,16.3213,16.8982,-4.0730,111.0157,-111,-0.217948,1.6742,-0.0000,-0.0180
TEL,11020,15.4737,16.3247,-3.7743,96.0536,-96,-0.188496,0.3109,-0.0000,-0.0144
TEL,11120,9.5754,12.4660,-3.3247,74.6883,-75,-0.147262,-1.5307,-0.0000,-0.0115
TEL,11220,12.7714,12.7192,0.3840,34.6883,-37,-0.072649,-0.0218,-0.0307,-0.0114
TEL,11320,12.4606,12.6568,0.2808,-0.0421,-1,-0.001963,0.1543,-0.0307,-0.0114
TEL,11420,11.2617,12.1361,0.4635,-13.6646,14,0.027489,-0.7490,-0.0678,-0.0113
TEL,11520,10.3793,11.4011,0.8639,-31.5072,32,0.062832,-2.2585,-0.1369,-0.0112
TEL,11620,8.2249,8.7296,2.8664,-103.5072,82,0.161007,-10.6669,-0.1336,-0.0111
TEL,11720,8.1783,8.4344,4.2704,-169.4605,157,0.308269,-11.0551,-0.1303,-0.0110
TEL,11820,8.3038,8.2522,4.6992,-171.5420,172,0.337721,-8.8505,-0.1271,-0.0109
TEL,11920,8.8797,8.4203,4.7478,-161.0363,161,0.316123,-6.2140,-0.1240,-0.0109
TEL,12020,7.9816,8.5921,4.4258,-139.0790,139,0.272926,-3.3389,-0.1210,-0.0108
TEL,12120,9.2932,8.7684,4.4079,-140.4690,140,0.274889,-3.7597,-0.1181,-0.0107
TEL,12220,11.4608,10.3526,3.8354,-108.3980,108,0.212057,0.1449,-0.1152,-1.5448
TEL,12320,12.4944,11.6331,2.6474,-54.5606,64,0.125664,4.7136,-0.1124,-1.5320
TEL,12420,13.9194,12.4955,0.7763,-14.5606,16,0.031416,7.5854,-0.1096,-1.5194
TEL,12520,10.5752,12.0113,0.5045,25.4394,-23,-0.045160,15.4025,-0.1070,-1.5068
TEL,12620,14.2584,13.4922,2.3711,-46.5606,26,0.051051,1.1278,-0.1043,-2.4553
TEL,12720,15.9401,15.2294,-0.4922,-12.5606,27,0.053014,8.6719,-0.0783,-1.9642
TEL,12820,17.0154,16.4515,-2.7133,43.4394,-36,-0.070686,9.6506,-0.0587,-1.5714
TEL,12920,17.6369,17.0567,-3.4515,99.4395,-85,-0.166897,9.3563,-0.0440,-1.2571
TEL,13020,15.0799,16.5079,-4.3751,155.4394,-149,-0.292561,8.9571,-0.0330,-1.0057
TEL,13120,16.8368,16.5419,-3.5079,99.4395,-110,-0.215984,1.8708,-0.0248,-0.8045
TEL,13220,17.5093,17.0553,-3.6846,104.4055,-104,-0.204204,2.3552,-0.0186,-0.6436
TEL,13320,17.5729,17.2817,-4.0553,116.4771,-116,-0.227765,2.8406,-0.0139,-0.5149
TEL,13420,16.8960,17.2148,-4.3187,120.1602,-120,-0.235619,2.2934,-0.0104,-0.4119
TEL,13520,13.2088,14.9398,-4.2148,111.3645,-111,-0.217948,1.1511,-0.0078,-0.3295
TEL,13620,14.6585,14.9867,-2.4722,86.9730,-87,-0.170824,4.6250,-0.0059,-0.2636
TEL,13720,14.3455,14.7380,-1.9867,52.9730,-53,-0.104065,1.9376,-0.0044,-0.2109
TEL,13820,13.3608,14.0719,-1.5722,28.1508,-28,-0.054978,0.1995,-0.0033,-0.1687
TEL,13920,12.4944,13.3722,-1.0719,4.1611,-4,-0.007854,-1.7405,-0.0025,-0.1350
TEL,14020,10.0071,9.8602,1.2873,-35.8389,34,0.066759,-13.0966,-0.0024,-0.1339
TEL,14120,9.6801,9.8527,3.1398,-107.8389,87,0.170824,-7.6960,-0.0024,-0.1328
TEL,14220,8.7376,9.3005,3.3435,-124.7978,125,0.245437,-6.8988,-0.0023,-0.1317
TEL,14320,8.0864,8.7881,3.6995,-132.1360,132,0.259181,-6.3152,-0.0022,-0.1306
TEL,14420,6.6986,8.5410,4.3987,-149.5948,150,0.294524,-5.8446,-0.0022,-0.1295
TEL,14520,8.6338,8.4637,4.5873,-149.3442,149,0.292561,-4.6156,-0.0021,-0.1284
TEL,14620,10.0297,9.1620,4.3870,-133.0018,133,0.261145,-2.2304,-0.0021,-0.1273
TEL,14720,10.9084,9.9755,3.4665,-93.8035,97,0.190459,1.0609,-0.0020,-1.5139
TEL,14820,12.1635,10.7345,2.5623,-54.9799,58,0.113883,4.0593,-0.0020,-1.5014
TEL,14920,8.7376,9.3878,3.0384,-98.3616,93,0.182605,-2.6214,-0.0019,-1.4890
TEL,15020,13.3993,12.5346,2.5131,-44.9392,59,0.115846,5.9789,-0.0019,-1.4767
TEL,15120,14.5228,13.8264,-0.2380,-10.9392,11,0.021598,9.2954,-0.0014,-1.1814
TEL,15220,15.7297,15.1382,-1.3235,23.0608,-22,-0.043197,10.1963,-0.0011,-0.9432
TEL,15320,16.4333,15.8685,-2.5477,79.0608,-67,-0.131554,10.2080,-0.0008,-0.7546
TEL,15420,15.3238,14.4431,-1.2492,45.0608,-52,-0.102102,-4.2745,-0.0006,-0.6037
TEL,15520,16.9555,15.8664,-2.0547,58.1151,-58,-0.113883,1.3149,-0.0004,-0.4829
TEL,15620,17.7663,17.4074,-3.4993,114.1151,-102,-0.200277,5.4597,-0.0003,-0.3863
TEL,15720,18.2332,17.7654,-4.5606,141.1724,-141,-0.276853,4.9941,-0.0003,-0.3091
TEL,15820,10.7780,16.2201,-4.9205,148.4793,-148,-0.290597,4.6753,-0.0002,-0.2473
TEL,15920,16.3771,16.0174,-2.7363,92.4793,-104,-0.204204,-0.1157,-0.0001,-0.1978
TEL,16020,17.0757,16.7153,-3.3397,95.5383,-96,-0.188496,2.2190,-0.0001,-0.1582
TEL,16120,17.0154,16.8388,-3.7830,105.8273,-106,-0.208131,2.0687,-0.0001,-0.1266
TEL,16220,11.9102,15.8798,-3.8136,102.3777,-102,-0.200277,1.2978,-0.0001,-0.1013
TEL,16320,13.3993,13.6002,-0.8776,68.3777,-69,-0.135481,-13.3747,-0.0000,-0.0810
TEL,16420,14.1722,14.0481,-0.7164,34.3777,-35,-0.068722,-8.7236,-0.0000,-0.0648
TEL,16520,13.5555,13.8880,-0.9837,0.3777,-1,-0.001963,-6.6915,-0.0000,-0.0519
TEL,16620,12.5284,13.3200,-0.7510,-33.3363,32,0.062832,-5.7578,-0.0000,-0.0415
TEL,16720,8.5828,11.7208,-0.0217,-49.6146,50,0.098175,-6.2437,-0.0000,-0.0332
TEL,16820,10.0297,10.6042,1.5426,-72.1854,72,0.141372,-6.3409,-0.0000,-0.0329
TEL,16920,9.5136,10.0275,2.7068,-106.1992,105,0.206167,-6.7504,-0.0000,-0.0326
TEL,17020,8.6168,9.2392,3.2273,-120.2842,120,0.235619,-6.6418,-0.0000,-0.0324
TEL,17120,8.0864,8.6880,4.0427,-143.6390,144,0.282743,-6.7580,-0.0000,-0.0321
TEL,17220,7.9521,8.4618,4.5382,-148.9877,148,0.290597,-4.8637,-0.0000,-0.0317
TEL,17320,8.8617,8.5672,4.4328,-136.9050,145,0.284707,-2.8347,-0.0000,-0.0314
TEL,17420,10.0297,9.1389,3.8611,-109.9307,133,0.261145,-0.0542,-0.0000,-1.5759
