t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags
349,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0
449,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0
549,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0
649,SAFE_DISABLED,0.0,-0.0618,0.0,0.0,0.0,0
749,SAFE_DISABLED,0.0,-0.0618,0.0,0.0,0.0,0
849,SAFE_DISABLED,-1.0,-0.8499,0.0,0.0,0.0,0
949,SAFE_DISABLED,0.0,-0.1082,0.0,0.0,0.0,0
1049,SAFE_DISABLED,-1.0,-0.9388,0.0,0.0,0.0,0
1149,SAFE_DISABLED,0.0,-0.0601,0.0,0.0,0.0,0
1249,SAFE_DISABLED,-0.5,-0.324,0.0,0.0,0.0,0
1349,SAFE_DISABLED,0.0,-0.0518,0.0,0.0,0.0,0
1449,SAFE_DISABLED,0.0,-0.0033,0.0,0.0,0.0,0
1549,SAFE_DISABLED,-0.5,-0.3013,0.0,0.0,0.0,0
1649,SAFE_DISABLED,0.0,-0.1682,0.0,0.0,0.0,0
1750,SAFE_DISABLED,0.0,-0.0269,0.0,0.0,0.0,0
1850,SAFE_DISABLED,0.0,-0.0269,0.0,0.0,0.0,0
1950,SAFE_DISABLED,0.0,-0.0007,0.0,0.0,0.0,0
2050,SAFE_DISABLED,0.0,-0.0003,0.0,0.0,0.0,0
2150,SAFE_DISABLED,0.0,-0.0,0.0,0.0,0.0,0
2250,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0
2350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0
2450,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0
243651,RUNNING,0.0169,0.0169,1.0919,-0.0052,-448.66,0
243751,RUNNING,0.0169,0.0169,-0.8719,-0.0054,354.37,0
243851,RUNNING,0.0169,0.0169,0.48,-0.0056,-198.55,0
243951,RUNNING,0.0169,0.0169,-0.1577,-0.0057,62.15,0
244051,RUNNING,0.0169,0.0169,-0.0817,-0.0059,30.99,0
244151,RUNNING,0.0169,0.0169,0.2095,-0.006,-88.14,0
244251,RUNNING,0.0169,0.0169,-0.2356,-0.0062,93.79,0
244352,RUNNING,0.0169,0.0169,0.1081,-0.0064,-46.8,0
244452,RUNNING,0.0169,0.0169,-0.003,-0.0065,-1.43,0
244552,RUNNING,0.0169,0.0169,-0.1223,-0.0067,47.28,0
244652,RUNNING,0.0169,0.0169,0.1771,-0.0069,-75.23,0
244752,RUNNING,0.0169,0.0169,-0.1179,-0.007,45.34,0
244852,RUNNING,0.0169,0.0169,-0.0434,-0.0072,14.83,0
244952,RUNNING,0.0169,0.0169,0.1794,-0.0073,-76.35,0
