capture_index,point_direction,point_number,label,captured_at_iso,samples_requested,samples_captured,valid_samples,valid_fraction,mean_distance_cm,std_distance_cm,min_distance_cm,max_distance_cm,mean_raw_adc,std_raw_adc,min_raw_adc,max_raw_adc,mean_voltage_v,std_voltage_v,min_voltage_v,max_voltage_v
0,out,0,out_p00,2026-03-13T15:05:25,25,25,25,1.0000,22.8920,1.7607,17.0000,24.2000,259.1600,20.3852,246.0000,332.0000,1.2654,0.0995,1.2010,1.6210
1,out,1,out_p01,2026-03-13T15:05:51,25,25,25,1.0000,22.6480,2.4539,15.2000,24.2000,263.2000,30.5723,246.0000,365.0000,1.2852,0.1492,1.2010,1.7820
2,out,2,out_p02,2026-03-13T15:05:57,25,25,25,1.0000,21.7720,3.1147,14.0000,24.3000,274.5600,42.8671,245.0000,393.0000,1.3406,0.2093,1.1960,1.9190
3,out,3,out_p03,2026-03-13T15:06:03,25,25,25,1.0000,22.2240,2.9309,13.9000,24.7000,269.2800,40.5447,242.0000,395.0000,1.3149,0.1980,1.1820,1.9290
4,out,4,out_p04,2026-03-13T15:06:09,25,25,25,1.0000,21.7840,3.0242,14.3000,24.3000,274.2000,41.4839,245.0000,386.0000,1.3389,0.2026,1.1960,1.8850
5,out,5,out_p05,2026-03-13T15:06:15,25,25,25,1.0000,23.4440,1.7438,15.9000,24.2000,254.2000,21.6949,246.0000,352.0000,1.2412,0.1060,1.2010,1.7190
6,out,6,out_p06,2026-03-13T15:06:22,25,25,25,1.0000,21.8440,3.1702,14.0000,24.4000,274.0800,43.9696,244.0000,391.0000,1.3383,0.2147,1.1910,1.9090
7,out,7,out_p07,2026-03-13T15:06:40,25,25,25,1.0000,20.9720,2.4394,14.0000,24.0000,281.4400,33.9461,248.0000,392.0000,1.3743,0.1657,1.2110,1.9140
8,out,8,out_p08,2026-03-13T15:06:51,25,25,25,1.0000,18.4880,1.9831,12.6000,20.0000,312.8400,36.4448,289.0000,429.0000,1.5275,0.1780,1.4110,2.0950
9,out,9,out_p09,2026-03-13T15:07:07,25,25,25,1.0000,18.0640,0.8568,14.9000,19.7000,315.9600,13.9298,293.0000,371.0000,1.5428,0.0681,1.4310,1.8120
10,ret,9,ret_p09,2026-03-13T15:07:31,25,25,25,1.0000,14.3480,1.5799,10.3000,15.6000,388.2400,43.9880,358.0000,510.0000,1.8957,0.2148,1.7480,2.4900
11,ret,8,ret_p08,2026-03-13T15:07:41,25,25,22,0.8800,12.5773,0.9242,10.1000,14.9000,446.3600,49.0789,371.0000,563.0000,2.1796,0.2396,1.8120,2.7490
12,ret,7,ret_p07,2026-03-13T15:07:53,25,25,24,0.9600,11.3750,0.6124,10.2000,12.7000,475.5600,37.8220,425.0000,627.0000,2.3222,0.1848,2.0750,3.0620
13,ret,6,ret_p06,2026-03-13T15:08:11,25,25,2,0.0800,11.1000,0.0000,11.1000,11.1000,603.5600,52.5389,477.0000,732.0000,2.9470,0.2564,2.3290,3.5740
14,ret,5,ret_p05,2026-03-13T15:08:22,25,25,0,0.0000,,,,,655.4400,46.9309,615.0000,766.0000,3.2004,0.2291,3.0030,3.7400
15,ret,4,ret_p04,2026-03-13T15:08:34,25,25,22,0.8800,10.7000,0.0000,10.7000,10.7000,512.6800,54.9551,493.0000,694.0000,2.5031,0.2684,2.4070,3.3890
16,ret,3,ret_p03,2026-03-13T15:08:39,25,25,19,0.7600,10.5211,0.2016,10.1000,10.7000,522.0800,44.9962,494.0000,639.0000,2.5492,0.2196,2.4120,3.1200
17,ret,2,ret_p02,2026-03-13T15:08:43,25,25,4,0.1600,10.6250,0.0957,10.5000,10.7000,631.6400,76.9869,494.0000,767.0000,3.0843,0.3759,2.4120,3.7450
18,ret,1,ret_p01,2026-03-13T15:08:53,25,25,0,0.0000,,,,,609.6800,36.4791,579.0000,725.0000,2.9768,0.1781,2.8270,3.5400
19,ret,0,ret_p00,2026-03-13T15:08:56,25,25,19,0.7600,10.5000,0.1563,10.0000,10.7000,534.2400,61.9982,494.0000,706.0000,2.6086,0.3027,2.4120,3.4470
