capture_index,point_direction,point_number,label,sample_index,captured_at_iso,raw_adc,voltage_v,distance_cm,valid_sample
0,out,0,out_p00,0,2026-03-13T15:05:25,256,1.2500,23.1000,1
0,out,0,out_p00,1,2026-03-13T15:05:25,255,1.2450,23.2000,1
0,out,0,out_p00,2,2026-03-13T15:05:25,253,1.2350,23.4000,1
0,out,0,out_p00,3,2026-03-13T15:05:25,252,1.2300,23.5000,1
0,out,0,out_p00,4,2026-03-13T15:05:25,332,1.6210,17.0000,1
0,out,0,out_p00,5,2026-03-13T15:05:25,290,1.4160,19.9000,1
0,out,0,out_p00,6,2026-03-13T15:05:25,265,1.2940,22.2000,1
0,out,0,out_p00,7,2026-03-13T15:05:25,253,1.2350,23.4000,1
0,out,0,out_p00,8,2026-03-13T15:05:25,250,1.2210,23.7000,1
0,out,0,out_p00,9,2026-03-13T15:05:25,252,1.2300,23.5000,1
0,out,0,out_p00,10,2026-03-13T15:05:25,246,1.2010,24.2000,1
0,out,0,out_p00,11,2026-03-13T15:05:25,306,1.4940,18.7000,1
0,out,0,out_p00,12,2026-03-13T15:05:25,265,1.2940,22.2000,1
0,out,0,out_p00,13,2026-03-13T15:05:25,255,1.2450,23.2000,1
0,out,0,out_p00,14,2026-03-13T15:05:25,251,1.2260,23.6000,1
0,out,0,out_p00,15,2026-03-13T15:05:25,249,1.2160,23.8000,1
0,out,0,out_p00,16,2026-03-13T15:05:25,248,1.2110,24.0000,1
0,out,0,out_p00,17,2026-03-13T15:05:25,252,1.2300,23.5000,1
0,out,0,out_p00,18,2026-03-13T15:05:25,251,1.2260,23.6000,1
0,out,0,out_p00,19,2026-03-13T15:05:25,247,1.2060,24.1000,1
0,out,0,out_p00,20,2026-03-13T15:05:25,251,1.2260,23.6000,1
0,out,0,out_p00,21,2026-03-13T15:05:25,251,1.2260,23.6000,1
0,out,0,out_p00,22,2026-03-13T15:05:25,251,1.2260,23.6000,1
0,out,0,out_p00,23,2026-03-13T15:05:25,251,1.2260,23.6000,1
0,out,0,out_p00,24,2026-03-13T15:05:25,247,1.2060,24.1000,1
1,out,1,out_p01,0,2026-03-13T15:05:51,247,1.2060,24.1000,1
1,out,1,out_p01,1,2026-03-13T15:05:51,247,1.2060,24.1000,1
1,out,1,out_p01,2,2026-03-13T15:05:51,246,1.2010,24.2000,1
1,out,1,out_p01,3,2026-03-13T15:05:51,247,1.2060,24.1000,1
1,out,1,out_p01,4,2026-03-13T15:05:51,247,1.2060,24.1000,1
1,out,1,out_p01,5,2026-03-13T15:05:51,247,1.2060,24.1000,1
1,out,1,out_p01,6,2026-03-13T15:05:51,251,1.2260,23.6000,1
