t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,x_linear_cm,x_linear_filt_cm,x_ctrl_cm,x_ctrl_filt_cm,x_feedback_cm,feedback_blend,pos_fresh,pos_held,pos_control_usable,control_hold_active,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,26.9824,14.4141,idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,
450,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
550,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
650,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
750,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
850,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
950,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
1050,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
1150,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
1250,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
1350,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
1451,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,21,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
1551,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
1651,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
1751,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
1851,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
1951,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
2051,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
2151,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
2251,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
2351,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
2451,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
2551,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
2651,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
2751,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
2851,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
2951,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
3051,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
3151,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
3251,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
3351,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
3451,SAFE_DISABLED,7.6146,7.6146,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6146,7.6146,7.6146,7.6146,0.4,1,0,1,0,
3551,SAFE_DISABLED,7.546,7.5796,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.546,7.5796,7.546,7.5796,7.5796,0.4,1,0,1,0,
3651,SAFE_DISABLED,7.6146,7.583,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.583,7.6146,7.583,7.583,0.4,1,0,1,0,
3751,SAFE_DISABLED,7.546,7.5785,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.546,7.5785,7.546,7.5785,7.5785,0.4,1,0,1,0,
3851,SAFE_DISABLED,7.6146,7.5921,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.5921,7.6146,7.5921,7.5921,0.4,1,0,1,0,
3951,SAFE_DISABLED,7.6146,7.6036,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,26.9824,14.4141,idle,7.6146,7.6036,7.6146,7.6036,7.6036,0.4,1,0,1,0,
